,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
1,10,10,2.4910206960455e+18,1.23766732326037e+18,21.4481201171875,20.2214756011963,19.7865200042725,19.5663948059082,19.629253387451197,0.041427090764046,0.032279707491397996,0.022330952808261,0.016594290733337,0.012343103997408999,23.2922382354736,24.053443908691396,0,-9.62829362833872e-05,1.8441181182861,3.0707626342773,3.5057182312011004,3.7258434295654,3.6629848480224,1.2266445159911998,1.661600112915,1.8817253112793002,1.8188667297363001,0.4349555969238,0.6550807952880999,0.592222213745103,0.22012519836429997,0.15726661682130302,-0.06285858154299699,-0.7612056732177951,-2.6053237915039,-3.8319683074951,-4.2669239044189,-4.4870491027832005,-4.424190521240201,1
2,23,23,3.056820583606e+18,1.23766778283563e+18,22.134576797485398,21.2551345825195,21.2245941162109,21.0705490112305,21.080980300903303,0.08074114471674003,0.062912955880165,0.043522890657187,0.032342169433832,0.024056633934378995,23.2937717437744,23.271993637085,0,-0.000504488649312,1.159194946289,2.0386371612548997,2.0691776275635,2.2232227325439,2.2127914428711,0.879442214965899,0.909982681274499,1.0640277862549001,1.0535964965820999,0.030540466308601,0.184585571288999,0.174154281616197,0.154045104980398,0.143613815307596,-0.010431289672802,0.0217781066894,-1.1374168395996,-2.0168590545655,-2.0473995208741,-2.2014446258544997,-2.1910133361817,1
4,76,76,6.37468056383442e+18,1.23766433879215e+18,20.4393634796143,20.002916336059602,19.7263278961182,19.0442047119141,18.522968292236303,0.068486735224724,0.05336440354585701,0.03691724687814701,0.027433471754192997,0.020405462011695,20.352525711059602,20.4799766540527,0,9.72541456576437e-05,-0.086837768554698,0.349609375,0.6261978149414029,1.3083209991455,1.8295574188233,0.436447143554698,0.7130355834961009,1.3951587677002,1.916395187378,0.27658843994140303,0.9587116241455008,1.4799480438233,0.682123184204098,1.2033596038818999,0.521236419677798,-0.12745094299309698,-0.04061317443839799,-0.47706031799309706,-0.753648757934499,-1.4357719421386002,-1.9570083618164,1
12,171,171,6.37485650609596e+18,1.23766532984989e+18,20.6855449676514,20.1025791168213,19.9358196258545,19.8910884857178,19.960504531860398,0.090133458375931,0.070231378078461,0.04858574271202098,0.036104414612055005,0.02685505151748701,21.45182800292969,21.7941455841064,0,-0.000474708824186,0.766283035278299,1.3492488861084,1.5160083770752,1.5607395172118999,1.4913234710693002,0.582965850830099,0.7497253417969,0.7944564819336009,0.725040435791001,0.16675949096679998,0.21149063110350105,0.14207458496090195,0.044731140136701,-0.024684906005899,-0.0694160461426,-0.34231758117670097,-1.108600616455,-1.6915664672851003,-1.8583259582518998,-1.9030570983886002,-1.8336410522459998,1
13,174,174,6.37489159812625e+18,1.23766502598148e+18,17.5072116851807,16.2118072509766,16.3667678833008,16.497257232665998,16.5754528045654,0.065022118389607,0.050664793699980004,0.035049669444561005,0.02604566141963,0.019373185932636004,18.770977020263697,20.0878009796143,0,-3.59074783773394e-06,1.263765335083,2.5591697692871,2.4042091369629,2.2737197875977,2.1955242156983,1.2954044342041,1.1404438018799,1.0099544525147,0.931758880615298,-0.154960632324197,-0.285449981689396,-0.36364555358879996,-0.13048934936519901,-0.20868492126460197,-0.078195571899403,-1.3168239593506001,-2.5805892944336,-3.8759937286377,-3.7210330963134997,-3.5905437469483,-3.5123481750488996,1
14,209,209,6.37489166255077e+18,1.23766725401818e+18,22.4244709014893,21.3028545379639,21.0662746429443,21.1053085327148,20.6762065887451,0.063530951738358,0.049502890557050996,0.034245871007442995,0.025448350235819997,0.018928898498416,22.5138893127441,22.13118362426761,0,2.8313801522017494e-05,0.08941841125480099,1.2110347747802,1.4476146697998,1.4085807800293002,1.837682723999,1.1216163635254,1.358196258545,1.3191623687745,1.7482643127442,0.236579895019599,0.19754600524909802,0.6266479492188001,-0.039033889770501,0.3900680541992009,0.429101943969702,0.3827056884764989,0.293287277221697,-0.828329086303704,-1.0649089813233,-1.0258750915528,-1.4549770355225,1
23,338,338,6.37928972731548e+18,1.23766542809471e+18,21.2541828155518,20.496404647827106,19.9678344726563,19.1264572143555,18.5828456878662,0.06393146514892599,0.049814965575934005,0.034461762756109,0.025608783587813,0.019048228859901,21.8652286529541,21.7719345092773,0,-2.6038374926429198e-05,0.611045837402301,1.368824005127,1.8973941802978,2.7387714385986,3.2823829650879,0.7577781677246981,1.2863483428955,2.1277256011963,2.6713371276856,0.528570175170803,1.3699474334716002,1.9135589599609,0.8413772583007991,1.3849887847901001,0.5436115264893,0.09329414367680099,-0.517751693725501,-1.2755298614502,-1.8041000366209998,-2.6454772949218,-3.1890888214111,1
24,348,348,3.15051656647856e+18,1.23766725348059e+18,24.1040420532227,21.8576965332031,20.6230792999268,19.432237625122106,18.533275604248,0.07129638642072701,0.055553663522005,0.038431767374277,0.028558921068907006,0.021242590621114,23.1595268249512,23.1538410186768,0,3.06145921058487e-05,-0.944515228271499,1.3018302917481002,2.5364475250244,3.7272891998291002,4.6262512207032005,2.2463455200196,3.4809627532958998,4.6718044281005975,5.5707664489747,1.2346172332763,2.425458908081,3.3244209289551003,1.1908416748047,2.0898036956788,0.8989620208741022,0.005685806274399999,0.950201034545898,-1.2961444854737,-2.53076171875,-3.7216033935547,-4.6205654144288,1
27,391,391,3.0571372429548e+18,1.23766512800937e+18,21.4815101623535,20.7287979125977,20.8176040649414,20.93792152404789,20.8242340087891,0.07183624804019903,0.055974319577217,0.038722775876522,0.028775172308087,0.021403441205621,22.907302856445302,24.0200634002686,0,0.00022212148178400002,1.4257926940918002,2.1785049438476003,2.0896987915039,1.9693813323973999,2.0830688476562,0.7527122497558031,0.663906097412102,0.543588638305604,0.6572761535644001,-0.08880615234369997,-0.20912361145019892,-0.095436096191403,-0.120317459106499,-0.006629943847702,0.11368751525879599,-1.1127605438233,-2.5385532379151003,-3.2912654876708998,-3.2024593353272004,-3.0821418762207,-3.1958293914794997,1
31,417,417,3.1560405128965e+18,1.23766778229765e+18,22.4543514251709,21.4027271270752,21.3123245239258,21.4362907409668,21.581901550293,0.12653166055679302,0.09859261661767996,0.06820591539144501,0.050684303045272994,0.03769981116056399,23.7006988525391,23.197608947753896,0,-7.448422547895459e-05,1.2463474273682,2.2979717254639,2.3883743286133,2.2644081115723,2.1187973022461,1.0516242980957,1.1420269012451,1.0180606842041,0.8724498748778979,0.0904026031494,-0.033563613891602,-0.179174423217802,-0.12396621704100096,-0.269577026367202,-0.14561080932620002,0.503089904785206,-0.743257522582997,-1.7948818206786998,-1.8852844238281,-1.7613182067871,-1.6157073974609,1
33,441,441,2.587461059941e+18,1.2376650238321e+18,24.155649185180696,21.3042583465576,20.8003177642822,20.5057010650635,20.3541240692139,0.06279696524143201,0.04893096908927,0.033850219100714,0.025154339149593998,0.01871020719409,23.957216262817397,25.226598739624,0,-0.000640323967673,-0.19843292236329896,2.6529579162598,3.1568984985352,3.4515151977538996,3.6030921936035,2.8513908386230997,3.35533142089849,3.6499481201171897,3.8015251159668,0.503940582275398,0.798557281494098,0.9501342773436999,0.2946166992187,0.446193695068303,0.151576995849602,-1.2693824768066,-1.0709495544433,-3.9223403930663996,-4.4262809753417995,-4.7208976745605,-4.8724746704100985,1
34,446,446,6.37468055846572e+18,1.23766482036353e+18,20.2831401824951,19.780849456787106,19.992261886596697,20.23919105529789,20.4377117156982,0.05681986361742,0.044273652136325996,0.030628308653832,0.022760115563869997,0.016929345205426,20.5199241638184,20.9346752166748,0,-0.000258371001109,0.236783981323299,0.7390747070312959,0.527662277221701,0.28073310852050104,0.08221244812019901,0.502290725707997,0.290878295898402,0.04394912719720201,-0.1545715332031,-0.21141242980959501,-0.45834159851079603,-0.6568622589110971,-0.2469291687012,-0.445449829101502,-0.198520660400302,-0.4147510528564029,-0.651535034179702,-1.1538257598877,-0.942413330078104,-0.6954841613769029,-0.4969635009766021,1
48,589,589,3.05639837114094e+18,1.23766725562499e+18,22.9558506011963,21.0844573974609,20.7355861663818,20.5719318389893,20.729290008544897,0.07609763741493203,0.059294763952494,0.04101984202861799,0.030482139438391002,0.022673111408948995,23.620964050293,23.87382698059081,0,0.000139471463626,0.6651134490967011,2.5365066528321,2.8853778839112003,3.0490322113037003,2.8916740417480997,1.8713932037353997,2.2202644348144998,2.383918762207,2.2265605926514,0.348871231079098,0.512525558471598,0.355167388916001,0.1636543273925,0.006296157836903001,-0.15735816955559698,-0.252862930297802,-0.9179763793945028,-2.7893695831299,-3.138240814209,-3.3018951416015,-3.1445369720459104,1
50,629,629,6.37489166684573e+18,1.23766544151459e+18,20.109094619751,19.6917972564697,19.5918941497803,19.6432991027832,19.5590324401855,0.06072310358285901,0.047315031290054,0.03273231908679,0.024323619902133997,0.018092304468154997,21.1482009887695,21.820919036865202,0,5.29717726749368e-05,1.0391063690185,1.4564037322998,1.5563068389892,1.5049018859863001,1.589168548584,0.4172973632813,0.517200469970703,0.46579551696780197,0.550062179565501,0.09990310668940304,0.048498153686501996,0.132764816284201,-0.051404953002900995,0.032861709594797985,0.084266662597699,-0.672718048095703,-1.7118244171142,-2.1291217803955003,-2.2290248870848997,-2.177619934082,-2.2618865966797004,1
