,Unnamed: 0,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
0,0,2.48929666181314e+18,1.23766544151196e+18,18.2862911224365,16.968242645263697,16.3343181610107,16.0398845672607,15.8572025299072,0.094920635223389,0.073961518704891,0.051166236400604005,0.038021996617317,0.028281379491091,20.535709381103498,22.654970169067397,0,0.001932892715558,2.249418258667,3.5674667358398,4.2013912200928,4.4958248138428,4.6785068511963,1.3180484771728,1.9519729614258,2.2464065551758,2.4290885925293,0.6339244842529971,0.9283580780029972,1.1110401153565,0.29443359375,0.4771156311035,0.18268203735350005,-2.1192607879639,-4.3686790466309,-5.6867275238037,-6.3206520080567,-6.6150856018067,-6.7977676391602015,0
10,10,2.4910206960455e+18,1.23766732326037e+18,21.4481201171875,20.2214756011963,19.7865200042725,19.5663948059082,19.629253387451197,0.041427090764046,0.032279707491398,0.022330952808261,0.016594290733337,0.012343103997409,23.2922382354736,24.053443908691396,0,-9.62829362833872e-05,1.8441181182861,3.0707626342773,3.5057182312011004,3.7258434295654,3.6629848480224,1.2266445159911998,1.661600112915,1.8817253112793,1.8188667297363,0.4349555969238,0.6550807952880999,0.592222213745103,0.2201251983643,0.15726661682130302,-0.06285858154299699,-0.7612056732177951,-2.6053237915039,-3.8319683074951,-4.2669239044189,-4.4870491027832005,-4.424190521240201,1
23,23,3.056820583606e+18,1.23766778283563e+18,22.134576797485398,21.2551345825195,21.2245941162109,21.0705490112305,21.080980300903303,0.08074114471674003,0.062912955880165,0.043522890657187,0.032342169433832,0.024056633934378995,23.2937717437744,23.271993637085,0,-0.000504488649312,1.159194946289,2.0386371612549,2.0691776275635,2.2232227325439,2.2127914428711,0.879442214965899,0.909982681274499,1.0640277862549,1.0535964965821,0.030540466308601,0.184585571288999,0.174154281616197,0.154045104980398,0.143613815307596,-0.010431289672802,0.0217781066894,-1.1374168395996,-2.0168590545655,-2.0473995208741,-2.2014446258545,-2.1910133361817,1
51,51,6.37468053484339e+18,1.23766222514356e+18,20.302318572998,20.0185279846191,20.3444919586182,20.5769901275635,20.9190769195557,0.061726618558168,0.048096965998410984,0.033273257315159004,0.024725595489144,0.018391301855445,20.103237152099602,19.8639450073242,0,-0.000617239333224,-0.199081420898398,0.08470916748050099,-0.24125480651859696,-0.473752975463899,-0.815839767456097,0.283790588378899,-0.042173385620199,-0.27467155456550096,-0.616758346557699,-0.32596397399909804,-0.5584621429444,-0.900548934936598,-0.232498168945302,-0.5745849609375,-0.342086791992198,0.239292144775401,0.4383735656738,0.154582977294901,0.4805469512939989,0.7130451202393,1.0551319122315,0
76,76,6.37468056383442e+18,1.23766433879215e+18,20.4393634796143,20.002916336059602,19.7263278961182,19.0442047119141,18.522968292236303,0.068486735224724,0.05336440354585701,0.036917246878147014,0.027433471754193,0.020405462011695,20.352525711059602,20.4799766540527,0,9.72541456576437e-05,-0.086837768554698,0.349609375,0.6261978149414029,1.3083209991455,1.8295574188233,0.436447143554698,0.7130355834961009,1.3951587677002,1.916395187378,0.27658843994140303,0.9587116241455008,1.4799480438233,0.682123184204098,1.2033596038819,0.521236419677798,-0.12745094299309698,-0.040613174438397986,-0.477060317993097,-0.753648757934499,-1.4357719421386002,-1.9570083618164,1
128,128,6.37482129702781e+18,1.23766532877563e+18,20.148063659668,19.9341316223145,20.2499027252197,20.516799926757802,20.633497238159197,0.105067767202854,0.08186808973550799,0.056635968387127,0.042086593806744,0.031304694712162004,19.7881107330322,19.6842041015625,0,0.0006108320667409999,-0.35995292663579903,-0.146020889282298,-0.4617919921875,-0.7286891937255999,-0.8453865051269961,0.21393203735350105,-0.10183906555170097,-0.36873626708980106,-0.485433578491197,-0.31577110290520194,-0.582668304443303,-0.6993656158446979,-0.26689720153810004,-0.383594512939496,-0.116697311401396,0.103906631469702,0.463859558105501,0.24992752075199895,0.565698623657202,0.8325958251953021,0.949293136596697,0
129,129,6.37482129810155e+18,1.23766725401248e+18,19.8057918548584,19.7611484527588,20.1415405273438,20.368341445922894,20.8236198425293,0.08015064150095,0.06245283782482201,0.043204583227634,0.032105635851622,0.023880695924163,19.2672843933105,19.4467487335205,0,-0.000117405055789,-0.538507461547898,-0.493864059448299,-0.874256134033299,-1.1010570526124,-1.5563354492188,0.044643402099599015,-0.335748672485401,-0.562549591064499,-1.0178279876709,-0.380392074585,-0.607192993164098,-1.0624713897705,-0.226800918579098,-0.682079315185501,-0.4552783966064029,-0.17946434021,0.35904312133789795,0.314399719238299,0.6947917938232989,0.9215927124023968,1.3768711090088002,0
140,140,6.37485641375417e+18,1.23766512854381e+18,20.161096572876,19.8790874481201,20.179754257202106,20.4427604675293,20.5396900177002,0.051188837736845,0.039885997772217005,0.02759294770658,0.020504517480731003,0.015251593664289,19.9084873199463,19.5509757995605,0,0.00025225468562,-0.252609252929702,0.0293998718262,-0.27126693725580303,-0.534273147583001,-0.6312026977538989,0.282009124755902,-0.018657684326101,-0.281663894653299,-0.378593444824197,-0.300666809082003,-0.5636730194092011,-0.660602569580099,-0.263006210327198,-0.359935760498097,-0.096929550170899,0.35751152038579903,0.610120773315501,0.328111648559599,0.6287784576416021,0.8917846679688001,0.988714218139698,0
148,148,6.37485642771281e+18,1.23766533146096e+18,19.8874664306641,19.774581909179695,20.097375869751,20.4006614685059,21.4445781707764,0.08057203888893101,0.062781184911728,0.043431736528873,0.032274432480335,0.024006249383092,19.6483840942383,19.3586158752441,0,-0.000341541308444,-0.239082336425803,-0.126197814941399,-0.448991775512702,-0.7522773742675991,-1.7961940765381,0.11288452148440302,-0.2099094390869,-0.513195037841797,-1.5571117401123,-0.322793960571303,-0.6260795593262,-1.6699962615967,-0.30328559875489697,-1.3472023010254,-1.0439167022705,0.289768218994198,0.5288505554199999,0.415966033935597,0.7387599945069,1.0420455932618,2.0859622955323003,0
157,157,6.37485644918765e+18,1.23766532931387e+18,20.432048797607397,20.129812240600604,20.4818515777588,20.566387176513697,21.6205730438232,0.081272110342979,0.063326679170132,0.043809100985527004,0.032554857432842005,0.024214833974838,20.458251953125,20.0146522521973,0,-0.000450780033134,0.026203155517603,0.328439712524396,-0.0235996246338,-0.10813522338869698,-1.1623210906982,0.302236557006793,-0.049802780151403,-0.13433837890630002,-1.1885242462158,-0.352039337158196,-0.4365749359130929,-1.4907608032226003,-0.08453559875489701,-1.1387214660643998,-1.0541858673095,0.44359970092769896,0.417396545410096,0.115159988403303,0.467199325561499,0.5517349243163959,1.6059207916259,0
