,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
0,0,0,2.48929666181314e+18,1.23766544151196e+18,18.2862911224365,16.968242645263697,16.3343181610107,16.0398845672607,15.8572025299072,0.094920635223389,0.073961518704891,0.051166236400604005,0.038021996617317,0.028281379491090997,20.535709381103498,22.654970169067397,0,0.0019328927155579999,2.2494182586669997,3.5674667358398,4.2013912200928,4.4958248138428,4.6785068511963,1.3180484771728,1.9519729614258001,2.2464065551758,2.4290885925293,0.6339244842529971,0.9283580780029972,1.1110401153565,0.29443359375,0.47711563110349997,0.18268203735350005,-2.1192607879639,-4.3686790466309,-5.6867275238037,-6.3206520080567,-6.6150856018067,-6.7977676391602015,0
3,51,51,6.37468053484339e+18,1.23766222514356e+18,20.302318572998,20.0185279846191,20.3444919586182,20.5769901275635,20.9190769195557,0.061726618558168,0.04809696599841098,0.033273257315159004,0.024725595489144,0.018391301855445,20.103237152099602,19.8639450073242,0,-0.000617239333224,-0.199081420898398,0.08470916748050099,-0.24125480651859696,-0.473752975463899,-0.815839767456097,0.283790588378899,-0.042173385620199,-0.27467155456550096,-0.616758346557699,-0.32596397399909804,-0.5584621429444,-0.900548934936598,-0.232498168945302,-0.5745849609375,-0.342086791992198,0.239292144775401,0.4383735656738,0.154582977294901,0.4805469512939989,0.7130451202393,1.0551319122315,0
5,128,128,6.37482129702781e+18,1.23766532877563e+18,20.148063659668,19.9341316223145,20.2499027252197,20.516799926757802,20.633497238159197,0.105067767202854,0.08186808973550799,0.056635968387127,0.042086593806743997,0.031304694712162004,19.7881107330322,19.6842041015625,0,0.0006108320667409999,-0.35995292663579903,-0.146020889282298,-0.4617919921875,-0.7286891937255999,-0.8453865051269961,0.21393203735350105,-0.10183906555170097,-0.36873626708980106,-0.485433578491197,-0.31577110290520194,-0.582668304443303,-0.6993656158446979,-0.26689720153810004,-0.38359451293949604,-0.116697311401396,0.103906631469702,0.463859558105501,0.2499275207519989,0.565698623657202,0.8325958251953021,0.949293136596697,0
6,129,129,6.37482129810155e+18,1.23766725401248e+18,19.8057918548584,19.7611484527588,20.1415405273438,20.36834144592289,20.8236198425293,0.08015064150095,0.06245283782482201,0.043204583227634,0.032105635851622,0.023880695924163,19.2672843933105,19.4467487335205,0,-0.000117405055789,-0.538507461547898,-0.49386405944829903,-0.874256134033299,-1.1010570526124,-1.5563354492188,0.04464340209959902,-0.335748672485401,-0.562549591064499,-1.0178279876709,-0.38039207458499996,-0.607192993164098,-1.0624713897705,-0.226800918579098,-0.682079315185501,-0.4552783966064029,-0.17946434021,0.35904312133789795,0.314399719238299,0.6947917938232989,0.9215927124023968,1.3768711090088002,0
7,140,140,6.37485641375417e+18,1.23766512854381e+18,20.161096572876,19.8790874481201,20.179754257202106,20.4427604675293,20.5396900177002,0.051188837736844996,0.039885997772217005,0.027592947706580002,0.020504517480731003,0.015251593664289,19.9084873199463,19.5509757995605,0,0.00025225468562,-0.252609252929702,0.029399871826200002,-0.27126693725580303,-0.534273147583001,-0.6312026977538989,0.282009124755902,-0.018657684326101,-0.281663894653299,-0.378593444824197,-0.300666809082003,-0.5636730194092011,-0.660602569580099,-0.263006210327198,-0.359935760498097,-0.09692955017089899,0.35751152038579903,0.610120773315501,0.328111648559599,0.6287784576416021,0.8917846679688001,0.9887142181396981,0
8,148,148,6.37485642771281e+18,1.23766533146096e+18,19.8874664306641,19.77458190917969,20.097375869751,20.4006614685059,21.4445781707764,0.08057203888893101,0.062781184911728,0.043431736528873,0.032274432480335,0.024006249383092,19.6483840942383,19.3586158752441,0,-0.000341541308444,-0.239082336425803,-0.126197814941399,-0.44899177551270203,-0.7522773742675991,-1.7961940765381001,0.11288452148440302,-0.2099094390869,-0.513195037841797,-1.5571117401123,-0.322793960571303,-0.6260795593262,-1.6699962615967,-0.30328559875489697,-1.3472023010254,-1.0439167022705,0.28976821899419797,0.5288505554199999,0.415966033935597,0.7387599945069,1.0420455932618,2.0859622955323003,0
9,157,157,6.37485644918765e+18,1.23766532931387e+18,20.432048797607397,20.129812240600604,20.4818515777588,20.566387176513697,21.6205730438232,0.081272110342979,0.063326679170132,0.043809100985527004,0.032554857432842005,0.024214833974837997,20.458251953125,20.0146522521973,0,-0.00045078003313399996,0.026203155517602997,0.328439712524396,-0.0235996246338,-0.10813522338869698,-1.1623210906982,0.302236557006793,-0.049802780151403,-0.13433837890630002,-1.1885242462158,-0.352039337158196,-0.4365749359130929,-1.4907608032226003,-0.08453559875489701,-1.1387214660643998,-1.0541858673095,0.44359970092769896,0.41739654541009596,0.115159988403303,0.467199325561499,0.5517349243163959,1.6059207916259,0
10,158,158,6.37485645777758e+18,1.23766732325441e+18,17.6482753753662,17.5480270385742,17.867534637451197,18.1521625518799,18.4198989868164,0.09980983287096001,0.07777114957571,0.053801719099282996,0.039980445057154,0.02973810583353,17.2875709533691,17.1021327972412,0,-4.7885307139949893e-05,-0.360704421997099,-0.260456085205099,-0.579963684082095,-0.8645915985107991,-1.1323280334473,0.100248336791999,-0.219259262084996,-0.5038871765137001,-0.7716236114501991,-0.31950759887699604,-0.6041355133056999,-0.8718719482421979,-0.284627914428704,-0.5523643493652021,-0.267736434936499,0.18543815612790104,0.546142578125,0.4458942413330009,0.7654018402099959,1.0500297546386999,1.3177661895752,0
11,165,165,6.37485650394848e+18,1.2376674429721e+18,20.1208877563477,19.9175109863281,20.216861724853498,20.455335617065398,20.815261840820305,0.08609781414270401,0.067086830735207,0.046410359442234005,0.034487869590521004,0.025652639567852003,20.06681823730469,19.585140228271502,0,-0.0007790773524900001,-0.054069519043001,0.14930725097659805,-0.15004348754879998,-0.3885173797607,-0.748443603515604,0.203376770019599,-0.095973968505799,-0.3344478607176989,-0.6943740844726031,-0.299350738525398,-0.537824630737298,-0.8977508544922019,-0.2384738922119,-0.598400115966804,-0.35992622375490396,0.481678009033196,0.5357475280761971,0.332370758056598,0.6317214965819961,0.870195388793896,1.2301216125488001,0
15,229,229,6.37862114478889e+18,1.23766773504921e+18,17.1753025054932,15.975872993469201,15.9494123458862,15.9901437759399,16.026575088501,0.17748600244522106,0.13829588890075695,0.095672458410263,0.071094885468483,0.05288153514266,18.865924835205103,21.6117248535156,0,0.0006784724537280001,1.6906223297118999,2.8900518417359002,2.9165124893189,2.8757810592652,2.8393497467041002,1.199429512024,1.225890159607,1.1851587295533,1.1487274169922,0.026460647583001,-0.0142707824707,-0.050702095031800995,-0.0407314300537,-0.077162742614801,-0.036431312561101,-2.7458000183105,-4.4364223480224005,-5.6358518600464,-5.6623125076294025,-5.6215810775757005,-5.5851497650146,0
16,239,239,6.37862116411625e+18,1.2376677817651e+18,20.074878692627,19.9770603179932,20.296527862548803,20.5947895050049,21.1650409698486,0.170628756284714,0.13295277953147902,0.09197611361741999,0.068348109722138,0.05083843693137202,19.9160938262939,19.5309562683105,0,-1.29691825350164e-05,-0.15878486633310002,-0.060966491699301,-0.38043403625490396,-0.678695678711001,-1.2489471435547,0.0978183746338,-0.221649169921804,-0.519910812377901,-1.0901622772216,-0.319467544555604,-0.617729187011701,-1.1879806518554,-0.298261642456097,-0.868513107299798,-0.5702514648436999,0.3851375579833979,0.543922424316499,0.446104049682699,0.765571594238303,1.0638332366944,1.6340847015381001,0
