,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
5,37,37,2.48683375576692e+18,1.23766728781293e+18,22.103141784668,20.571674346923803,20.2528038024902,20.1301441192627,19.8028564453125,0.10004311800003099,0.077952921390533,0.053927469998597995,0.040073890239,0.029807610437273997,22.9465484619141,23.7414169311523,0,-0.000120389842778,0.8434066772461009,2.3748741149903,2.6937446594238996,2.8164043426514,3.1436920166016002,1.5314674377442,1.8503379821777999,1.9729976654052999,2.3002853393555,0.318870544433604,0.441530227661104,0.7688179016113029,0.1226596832275,0.44994735717769896,0.327287673950199,-0.7948684692381999,-1.6382751464843002,-3.1697425842285,-3.4886131286621,-3.6112728118896,-3.9385604858398,1
6,45,45,6.37767117640617e+18,1.23766729212074e+18,20.2589359283447,19.9291954040527,19.9986133575439,20.033893585205103,20.2468643188477,0.17872324585914606,0.139259949326515,0.09633938223123599,0.07159049063921001,0.053250171244144,21.369441986084002,21.555932998657198,0,0.000154449633555,1.1105060577393,1.4402465820313,1.3708286285401001,1.3355484008788998,1.1225776672363001,0.329740524292003,0.260322570800803,0.225042343139599,0.012071609497003002,-0.06941795349119999,-0.10469818115240401,-0.317668914795,-0.035280227661204006,-0.24825096130379998,-0.212970733642596,-0.18649101257319609,-1.2969970703125,-1.6267375946045,-1.5573196411133001,-1.5220394134521005,-1.3090686798095,1
23,212,212,6.37767121935585e+18,1.23766773556727e+18,20.1637401580811,19.8678894042969,19.9891986846924,20.0968132019043,20.65966796875,0.10802963376045199,0.08417595922946901,0.05823253840208099,0.043273016810416995,0.032187175005674,20.410236358642603,21.5761528015137,0,0.00044202548451699995,0.24649620056150198,0.542346954345703,0.42103767395020203,0.3134231567383029,-0.2494316101073969,0.295850753784201,0.1745414733887,0.066926956176801,-0.49592781066889896,-0.121309280395501,-0.228923797607401,-0.7917785644531,-0.1076145172119,-0.670469284057599,-0.5628547668456999,-1.1659164428711002,-1.4124126434326,-1.7082633972168002,-1.5869541168213002,-1.4793395996094,-0.9164848327636999,1
25,229,229,6.3826321599858e+18,1.23766773610617e+18,20.5992393493652,20.3215026855469,20.3788452148438,20.1670074462891,19.616531372070305,0.11721932888031,0.09133651107549699,0.06318617612123499,0.046954099088907006,0.034925222396850995,20.6919059753418,20.2530193328857,0,2.13658108805248e-06,0.09266662597660197,0.370403289794901,0.3130607604980011,0.524898529052699,1.0753746032715,0.27773666381829903,0.220394134521399,0.43223190307609705,0.982707977294897,-0.057342529296900015,0.154495239257798,0.7049713134765979,0.211837768554698,0.762313842773498,0.5504760742188001,0.4388866424561009,0.34622001647949896,0.0684833526612,0.12582588195810002,-0.08601188659659799,-0.6364879608153979,1
34,307,307,6.38263215569083e+18,1.23766778335776e+18,19.5745315551758,19.677104949951197,20.006814956665,20.317485809326197,20.3629512786865,0.115920767188072,0.09032467752695099,0.062486190348864004,0.046433936804533,0.034538317471743,19.502740859985398,19.923044204711896,0,0.000283668050542,-0.071790695190401,-0.174364089965799,-0.504074096679602,-0.814744949340799,-0.8602104187011009,-0.10257339477539801,-0.43228340148920097,-0.742954254150398,-0.7884197235107,-0.32971000671380296,-0.640380859375,-0.6858463287353019,-0.31067085266119704,-0.356136322021499,-0.045465469360302,-0.4203033447264989,-0.3485126495360969,-0.24593925476070005,0.083770751953104,0.3944416046143,0.4399070739746021,1
41,393,393,6.38347664075051e+18,1.23766827137211e+18,21.3581829071045,20.4367275238037,19.8655319213867,19.610912322998,19.271917343139602,0.14948828518390694,0.11648026853799799,0.08058051019907,0.059879954904318,0.04453968256712,20.9770469665527,20.7998085021973,0,-0.0004413737042340001,-0.3811359405518,0.540319442748999,1.111515045166,1.3661346435547,1.7051296234131001,0.9214553833007992,1.4926509857177999,1.7472705841065002,2.0862655639648997,0.5711956024169991,0.8258152008056999,1.1648101806641,0.2546195983887,0.593614578247099,0.338994979858398,0.177238464355398,0.558374404907198,-0.3630809783936009,-0.9342765808105999,-1.1888961791993,-1.5278911590577,1
44,407,407,6.37767123331449e+18,1.23766829015525e+18,21.4635162353516,20.929857254028303,21.0056533813477,20.7341136932373,20.0624179840088,0.131618067622185,0.10255590826273,0.070947699248791,0.052721746265888,0.039215292781591006,21.5480079650879,21.7101173400879,0,0.000347456283635,0.0844917297363,0.618150711059599,0.5423545837402021,0.8138942718505999,1.4855899810791,0.533658981323299,0.457862854003903,0.7294025421143,1.4010982513427999,-0.075796127319396,0.19574356079100105,0.8674392700195029,0.271539688110398,0.943235397338899,0.671695709228501,-0.162109375,-0.2466011047363,-0.7802600860595991,-0.7044639587402021,-0.9760036468505999,-1.6476993560791,1
46,415,415,6.3790434120148e+18,1.23766829391e+18,20.4027538299561,20.1272964477539,20.4902515411377,20.713943481445305,20.875093460083,0.08288181573152499,0.06458094716072099,0.044676803052425,0.033199653029442,0.024694442749023,19.9094295501709,20.167249679565398,1,6.7661349021364e-05,-0.493324279785202,-0.21786689758300096,-0.5808219909668001,-0.8045139312744028,-0.965663909912102,0.27545738220220195,-0.08749771118159799,-0.311189651489201,-0.4723396301269,-0.3629550933838,-0.5866470336914029,-0.747797012329102,-0.223691940307603,-0.384841918945302,-0.161149978637699,-0.257820129394499,0.23550415039070305,-0.039953231811499,0.32300186157230104,0.546693801879904,0.707843780517603,0
47,417,417,6.3790434120148e+18,1.23766829391e+18,20.4027538299561,20.1272964477539,20.4902515411377,20.713943481445305,20.875093460083,0.08288181573152499,0.06458094716072099,0.044676803052425,0.033199653029442,0.024694442749023,19.9094295501709,20.167249679565398,0,6.7661349021364e-05,-0.493324279785202,-0.21786689758300096,-0.5808219909668001,-0.8045139312744028,-0.965663909912102,0.27545738220220195,-0.08749771118159799,-0.311189651489201,-0.4723396301269,-0.3629550933838,-0.5866470336914029,-0.747797012329102,-0.223691940307603,-0.384841918945302,-0.161149978637699,-0.257820129394499,0.23550415039070305,-0.039953231811499,0.32300186157230104,0.546693801879904,0.707843780517603,1
55,485,485,3.08415884071902e+18,1.23766849631322e+18,22.925540924072298,21.390754699707,21.375442504882802,21.664493560791,20.968702316284197,0.11362212151288999,0.08853358775377301,0.061247125267983,0.045513179153204,0.033853441476822003,23.538988113403306,23.905105590820302,0,0.0008668386726639999,0.613447189331005,2.1482334136963,2.1635456085205003,1.8744945526123,2.5702857971191,1.5347862243652999,1.5500984191895,1.2610473632813,1.9568386077881001,0.015312194824198001,-0.27373886108400197,0.422052383422802,-0.2890510559082,0.406740188598604,0.6957912445068039,-0.36611747741699896,-0.9795646667480039,-2.5143508911133,-2.5296630859375,-2.2406120300293,-2.9364032745361,1
