	class	knn_pred	spectro_pred
0	0	0	0
1	1	1	1
2	0	0	0
3	1	1	1
4	1	1	1
5	0	0	0
6	0	0	0
7	1	1	1
8	0	1	0
9	1	1	1
10	1	0	1
11	1	1	1
12	1	0	1
13	0	1	0
14	0	0	0
15	1	1	1
16	1	1	1
17	0	0	0
18	0	0	0
19	1	1	1
20	0	1	0
21	1	0	1
22	1	1	1
23	1	1	1
24	0	1	0
25	0	0	0
26	1	0	1
27	1	1	1
28	1	1	1
29	1	1	1
30	0	1	0
31	0	0	0
32	1	1	1
33	1	1	1
34	1	1	1
35	0	1	0
36	0	0	0
37	1	1	1
38	1	1	1
39	0	0	0
40	1	1	1
41	1	1	1
42	0	0	0
43	1	1	1
44	1	1	1
45	0	0	0
46	1	1	1
47	1	1	1
48	1	1	1
49	1	1	1
50	1	1	1
51	0	0	0
52	1	1	1
53	1	1	1
54	1	1	1
55	0	0	0
56	1	1	1
57	1	0	1
58	0	0	0
59	1	1	1
60	1	1	1
61	1	1	1
62	1	1	1
63	1	1	1
64	1	1	1
65	1	1	1
66	1	1	1
67	1	1	1
68	0	0	0
69	0	0	0
70	1	1	1
71	0	0	0
72	1	1	1
73	1	0	1
74	0	1	0
75	1	1	1
76	1	0	1
77	0	0	0
78	1	1	1
79	1	1	1
80	0	0	0
81	1	1	1
82	0	0	0
83	1	1	1
84	1	1	1
85	0	1	0
86	0	0	0
87	1	1	1
88	0	0	0
89	1	1	1
90	0	0	0
91	1	1	1
92	1	1	1
93	1	1	1
94	1	1	1
95	1	1	1
96	1	1	1
97	0	1	0
98	1	1	1
99	1	0	1
100	1	0	1
101	1	1	1
102	1	0	1
103	1	1	1
104	1	1	1
105	1	1	1
106	1	0	1
107	1	1	1
108	1	1	1
109	1	1	1
110	1	1	1
111	1	1	1
112	1	1	1
113	1	1	1
114	0	1	0
115	0	0	0
116	1	1	1
117	0	0	0
118	1	1	1
119	1	1	1
120	1	1	1
121	1	1	1
122	1	1	1
123	1	0	1
124	1	1	1
125	0	1	0
126	1	1	1
127	0	0	2
128	1	1	1
129	1	0	1
130	0	0	0
131	0	1	0
132	1	1	1
133	1	1	1
134	1	1	1
135	0	0	0
136	1	1	1
137	1	1	1
138	1	1	1
139	0	0	0
140	0	1	0
141	0	0	0
142	1	1	1
143	1	1	1
