,Unnamed: 0,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,pred
1303,1303,6.37872676018219e+18,1.23766773451057e+18,19.0141620635986,17.923427581787102,17.5715579986572,17.4243335723877,17.387142181396502,0.09275434166193,0.072273552417755,0.049998510628939,0.037154253572226,0.027635937556624003,20.3375129699707,0,0.003868617583066,1.3233509063721,2.4140853881836,2.7659549713135,2.9131793975830003,2.9503707885742,1.0907344818115,1.4426040649414,1.5898284912109,1.6270198822021005,0.35186958312990096,0.499094009399403,0.5362854003906,0.14722442626950302,0.18441581726070005,0.037191390991197,0
2343,2343,6.37872674622354e+18,1.23766791113225e+18,19.2973251342773,17.8477001190186,17.4174633026123,17.245628356933597,17.2509059906006,0.08116880059242301,0.063246183097363,0.043753415346146005,0.032513476908207,0.024184053763747,20.908311843872106,0,0.0034020608291029995,1.6109867095948005,3.0606117248535,3.4908485412598,3.6626834869385,3.6574058532715,1.4496250152587,1.879861831665,2.0516967773437,2.0464191436767,0.4302368164063,0.602071762085004,0.5967941284180011,0.171834945678704,0.166557312011701,-0.005277633667003,0
2431,2431,3.24291072778306e+18,1.23766791274221e+18,22.7775573730469,21.9123973846436,21.7903347015381,21.7455043792725,21.0489883422852,0.057153284549713,0.044533453881741,0.030808037146926,0.022893672809005,0.017028687521814998,24.682069778442397,0,0.0038103489205240006,1.9045124053955,2.7696723937988,2.8917350769043,2.9365653991699,3.6330814361572,0.865159988403299,0.9872226715088,1.0320529937744,1.7285690307617,0.122062683105501,0.16689300537110094,0.863409042358402,0.044830322265599985,0.7413463592529009,0.6965160369873009,0
2722,2722,3.87207766947556e+18,1.23766827244493e+18,22.8966274261475,21.987157821655305,22.077369689941396,21.9306831359863,22.196735382080107,0.121329240500927,0.094538927078247,0.065401591360569,0.04860039055347401,0.036149762570858,23.6143112182617,0,0.003820541547611,0.7176837921142009,1.6271533966064,1.53694152832031,1.6836280822754,1.4175758361816,0.909469604492198,0.819257736206104,0.9659442901612,0.699892044067397,-0.090211868286094,0.056474685669002,-0.20957756042480105,0.146686553955096,-0.119365692138707,-0.266052246093803,1
2765,2765,6.38263218682934e+18,1.23766828854614e+18,22.7731609344482,22.045595169067397,21.934778213501,22.068431854248,21.6050910949707,0.155689790844917,0.12131243199110002,0.083923377096653,0.062364064157009014,0.046387404203415,22.365802764892607,0,0.003782427869737,-0.40735816955559706,0.320207595825206,0.4310245513916021,0.297370910644602,0.760711669921903,0.7275657653808031,0.838382720947198,0.7047290802001991,1.1680698394775,0.11081695556639598,-0.022836685180604003,0.440504074096698,-0.133653640746999,0.329687118530302,0.463340759277301,0
2884,2884,3.22837958211037e+18,1.23766829283659e+18,20.973646163940398,20.3597793579102,20.0691184997559,19.9494247436523,19.959039688110398,0.08654247224330901,0.06743330508470499,0.046650048345327,0.034665986895561,0.025785123929381003,22.1028137207031,0,0.003815654432401,1.1291675567627,1.7430343627929,2.0336952209472,2.1533889770508,2.1437740325927,0.613866806030199,0.904527664184499,1.0242214202881,1.01460647583,0.2906608581543,0.4103546142578979,0.400739669799801,0.119693756103597,0.110078811645501,-0.009614944458097,0
2886,2886,3.22837958211037e+18,1.23766829283659e+18,20.973646163940398,20.3597793579102,20.0691184997559,19.9494247436523,19.959039688110398,0.08654247224330901,0.06743330508470499,0.046650048345327,0.034665986895561,0.025785123929381003,22.1028137207031,0,0.003815654432401,1.1291675567627,1.7430343627929,2.0336952209472,2.1533889770508,2.1437740325927,0.613866806030199,0.904527664184499,1.0242214202881,1.01460647583,0.2906608581543,0.4103546142578979,0.400739669799801,0.119693756103597,0.110078811645501,-0.009614944458097,0
2938,2938,6.37904342919257e+18,1.23766829444805e+18,17.9332103729248,16.5929584503174,15.9468383789063,15.6517744064331,15.5075101852417,0.111843854188919,0.08714797347784,0.06028856709599501,0.044800866395235,0.033323612064122994,20.140827178955103,0,0.003638396970928,2.2076168060303,3.5478687286377,4.1939888000488,4.489052772522,4.6333169937134,1.3402519226074,1.9863719940185,2.2814359664917,2.4257001876831,0.6461200714111011,0.9411840438843,1.0854482650757,0.2950639724732,0.4393281936646,0.144264221191401,0
3467,3467,6.37904344100583e+18,1.23766849577989e+18,18.5480785369873,17.0390529632568,16.6439590454102,16.542781829834002,17.171758651733402,0.108816437423229,0.08478903025388701,0.05865665897727,0.043588183820248,0.032421600073576,19.5342617034912,0,0.003580128774047,0.9861831665038991,2.4952087402344,2.890302658081,2.9914798736572004,2.3625030517578,1.5090255737305,1.9041194915771005,2.0052967071533,1.3763198852539,0.395093917846602,0.496271133422798,-0.132705688476602,0.10117721557619698,-0.5277996063232029,-0.6289768218994001,0
3786,3786,3.77855760826211e+18,1.2376697010484e+18,22.4551181793213,21.835391998291,21.7362327575684,22.117748260498,21.1499881744385,0.148335114121437,0.115581721067429,0.079958900809288,0.059418030083180015,0.044196099042893,24.2590827941895,0,0.003788825590163,1.8039646148682,2.4236907958985,2.5228500366211,2.1413345336915,3.109094619751,0.619726181030298,0.7188854217529009,0.33736991882329903,1.3051300048828,0.099159240722603,-0.2823562622069989,0.6854038238525,-0.3815155029296021,0.586244583129897,0.967760086059499,0
