,Unnamed: 0,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,pred
4597,4597,2.41667611782179e+18,1.2376785959374e+18,22.721797943115202,21.7276630401611,21.6291809082031,22.040636062622102,21.184371948242198,0.19756892323494,0.153944373130798,0.106498003005981,0.07913942635059401,0.058865197002888,23.0339508056641,0,0.003359018126503,0.31215286254889896,1.306287765503,1.404769897461,0.9933147430419992,1.8495788574219,0.994134902954102,1.0926170349121,0.6811618804931,1.537425994873,0.098482131958001,-0.31297302246100106,0.5432910919189029,-0.411455154419002,0.444808959960902,0.8562641143799041,0
7051,7051,6.37724898326636e+18,1.23767866197914e+18,21.867229461669893,21.590425491332997,21.5066070556641,22.1056957244873,22.100807189941396,0.21136383712291695,0.164693266153336,0.11393404006958,0.08466520160436601,0.062975354492664,21.7751388549805,0,0.003800260834396,-0.092090606689396,0.184713363647504,0.268531799316399,-0.3305568695068,-0.32566833496089503,0.2768039703369,0.360622406005795,-0.238466262817404,-0.23357772827149895,0.083818435668896,-0.515270233154304,-0.5103816986083979,-0.5990886688231999,-0.594200134277294,0.004888534545906,0
7864,7864,6.38020444260454e+18,1.23767885847777e+18,21.8372688293457,21.4790992736816,21.343784332275398,21.6652431488037,21.853090286254893,0.313936442136765,0.244617149233818,0.169225007295609,0.12575231492519398,0.093536622822285,21.9769401550293,0,0.0033435202203690004,0.13967132568360094,0.4978408813476989,0.6331558227539029,0.3116970062256,0.12384986877440303,0.358169555664098,0.493484497070302,0.17202568054199902,-0.015821456909198,0.135314941406204,-0.18614387512209896,-0.37399101257329503,-0.321458816528303,-0.509305953979499,-0.187847137451197,0
9835,9835,2.9112628362724e+18,1.23767907858809e+18,21.781551361084,21.110668182373,21.245426177978498,21.1611557006836,21.102642059326197,0.144177049398422,0.112341783940792,0.077717527747154,0.05775245279073701,0.042957212775946,22.112245559692397,0,0.003556713229045,0.33069419860839805,1.0015773773194,0.866819381713899,0.951089859008796,1.0096035003661998,0.6708831787109979,0.5361251831055011,0.620395660400398,0.6789093017578021,-0.13475799560549698,-0.0504875183106,0.008026123046804,0.084270477294897,0.142784118652301,0.058513641357404,0
10506,10506,6.38038041708043e+18,1.23767932232178e+18,21.8526821136475,21.6084060668945,21.5307769775391,21.568380355835,21.621618270874,0.10109619051218,0.078773468732834,0.05449511855840701,0.040495712310076,0.030121371150017007,21.7666187286377,0,0.003886396763846,-0.086063385009801,0.1582126617432,0.23584175109859695,0.198238372802699,0.14500045776370002,0.244276046753001,0.32190513610839805,0.2843017578125,0.231063842773501,0.077629089355398,0.040025711059499,-0.013212203979498998,-0.037603378295899,-0.090841293334897,-0.053237915038999,1
13992,13992,6.38094332515582e+18,1.23767950324911e+18,23.542179107666,22.1744709014893,21.924047470092802,22.185205459594695,21.9964237213135,0.212887033820152,0.165880128741264,0.114755108952522,0.08527534455061,0.063429191708565,22.8316535949707,0,0.003594031557441,-0.7105255126953021,0.6571826934813989,0.907606124877898,0.646448135376001,0.8352298736571979,1.3677082061767,1.6181316375731998,1.3569736480713002,1.5457553863525,0.250423431396499,-0.010734558105398,0.178047180175799,-0.261157989501896,-0.0723762512207,0.188781738281197,1
14041,14041,3.05340769951339e+18,1.23767950325468e+18,21.7680015563965,21.6703701019287,21.589786529541,22.093729019165,22.738208770752,0.236580222845078,0.184341713786125,0.127526745200157,0.094766035676003,0.070488519966602,22.264343261718803,0,0.003800897859037001,0.496341705322305,0.593973159790103,0.674556732177802,0.17061424255380306,-0.473865509033196,0.097631454467798,0.17821502685549698,-0.32572746276850106,-0.970207214355501,0.080583572387699,-0.4233589172363,-1.0678386688233,-0.503942489623999,-1.148422241211,-0.644479751586999,0
14676,14676,6.38094336810759e+18,1.23767950486195e+18,21.4554386138916,21.341594696044897,21.475793838501,21.5107307434082,21.3102779388428,0.126502394676209,0.09856981039047198,0.068190142512322,0.050672583281994005,0.037691090255976,21.9134140014648,0,0.003583843819797,0.4579753875732,0.5718193054199039,0.4376201629638,0.4026832580566021,0.6031360626220029,0.113843917846705,-0.0203552246094,-0.055292129516598,0.145160675048803,-0.134199142456104,-0.169136047363303,0.031316757202099,-0.034936904907198,0.165515899658203,0.20045280456540104,0
14717,14717,6.3773545406776e+18,1.23767950486576e+18,20.9269866943359,20.8814678192139,20.936115264892603,20.896541595459002,21.1850757598877,0.17206026613712302,0.13406819105148302,0.092747755348682,0.068921521306038,0.051264949142933,21.7111473083496,0,0.003643174422905,0.7841606140136999,0.8296794891357,0.775032043456996,0.814605712890597,0.5260715484619001,0.045518875121999,-0.009128570556705,0.030445098876896,-0.2580890655518,-0.054647445678704,-0.015073776245103,-0.3036079406738,0.039573669433600994,-0.248960494995096,-0.288534164428697,1
15410,15410,3.1302151837812e+18,1.23767954297245e+18,23.2120475769043,22.3941650390625,22.1813907623291,22.358318328857397,21.7676658630371,0.30679577589034995,0.239053189754486,0.165375888347626,0.122892014682293,0.091409079730511,22.8285484313965,0,0.0033329168800259987,-0.383499145507802,0.434383392333999,0.647157669067397,0.4702301025391021,1.0608825683594,0.8178825378418,1.0306568145752,0.853729248046903,1.4443817138672,0.212774276733398,0.035846710205102994,0.626499176025401,-0.17692756652829505,0.413724899292003,0.590652465820298,1
17740,17740,6.37672123379116e+18,1.2376802757981e+18,21.6674118041992,21.5891304016113,22.080318450927702,22.1034202575684,22.7624855041504,0.18152442574501,0.141442596912384,0.09784933924675,0.072712540626526,0.054084774106741,21.228895187377894,0,0.003334094071761,-0.438516616821303,-0.360235214233402,-0.851423263549805,-0.874525070190501,-1.5335903167725,0.078281402587901,-0.412906646728501,-0.436008453369198,-1.0950736999512,-0.491188049316403,-0.514289855957099,-1.1733551025391,-0.023101806640696,-0.682167053222699,-0.6590652465820029,0
17969,17969,4.50789445749284e+18,1.23768027794617e+18,23.9388751983643,23.2177238464355,21.3340816497803,20.2826156616211,19.6190147399902,0.16450205445289598,0.12817887961864502,0.08867355436086699,0.06589395552873599,0.049012996256352005,23.826105117797894,0,0.003621560754254,-0.112770080566403,0.608381271362397,2.4920234680176003,3.5434894561768,4.2070903778077,0.7211513519288001,2.604793548584,3.656259536743201,4.319860458374101,1.8836421966552,2.9351081848144003,3.5987091064453,1.0514659881592,1.7150669097901,0.663600921630902,1
20614,20614,3.38882031863412e+18,1.23764991950042e+18,23.042037963867198,21.1121788024902,20.232112884521502,19.8678131103516,19.7681674957275,0.447254866361618,0.3484979569911961,0.241089284420013,0.179155170917511,0.133258536458015,23.856910705566396,0,0.003795933444053,0.814872741699197,2.7447319030762003,3.6247978210448895,3.98909759521479,4.0887432098389,1.929859161377,2.8099250793457,3.1742248535156,3.2738704681397004,0.8800659179686969,1.2443656921386002,1.3440113067627,0.364299774169901,0.463945388794002,0.099645614624102,0
20939,20939,6.38192855522005e+18,1.23765037154586e+18,22.7737712860107,22.160577774047894,22.2137393951416,22.1253356933594,21.6165332794189,0.21375617384910606,0.166557371616364,0.115223616361618,0.085623495280743,0.063688151538372,22.7161483764648,1,0.003743295092136,-0.05762290954589901,0.5555706024169029,0.5024089813232,0.590812683105401,1.0996150970459,0.613193511962802,0.560031890869098,0.6484355926513,1.1572380065918,-0.053161621093704,0.035242080688498004,0.544044494628999,0.088403701782202,0.597206115722702,0.5088024139405011,0
20941,20941,6.38192855522005e+18,1.23765037154586e+18,22.7737712860107,22.160577774047894,22.2137393951416,22.1253356933594,21.6165332794189,0.21375617384910606,0.166557371616364,0.115223616361618,0.085623495280743,0.063688151538372,22.7161483764648,0,0.003743295092136,-0.05762290954589901,0.5555706024169029,0.5024089813232,0.590812683105401,1.0996150970459,0.613193511962802,0.560031890869098,0.6484355926513,1.1572380065918,-0.053161621093704,0.035242080688498004,0.544044494628999,0.088403701782202,0.597206115722702,0.5088024139405011,1
21137,21137,6.37897303575442e+18,1.23765076185973e+18,23.6735649108887,22.0207176208496,22.118238449096694,22.1594390869141,23.014928817749,0.089324578642845,0.069601103663445,0.048149723559618,0.035780403763056,0.026614047586918,21.57887840271,0,0.0038005230017009992,-2.0946865081787,-0.441839218139599,-0.539360046386697,-0.5805606842041021,-1.436050415039,1.6528472900391,1.555326461792,1.5141258239746,0.6586360931397021,-0.097520828247099,-0.13872146606450306,-0.9942111968994,-0.041200637817404,-0.8966903686523008,-0.855489730834897,1
21191,21191,3.78767036063312e+18,1.23765076292954e+18,22.490713119506804,21.4994773864746,21.1670246124268,20.7938556671143,20.4791870117188,0.107044167816639,0.08340809494257,0.057701330631971,0.042878273874521006,0.031893558800221,23.115474700927702,0,0.003333591390401,0.6247615814208979,1.6159973144531,1.9484500885009,2.3216190338134,2.6362876892089,0.9912357330322048,1.32368850708,1.6968574523925,2.011526107788,0.33245277404779805,0.7056217193602979,1.0202903747558,0.3731689453125,0.6878376007080009,0.31466865539550104,1
22075,22075,2.43032765419016e+18,1.23765182271462e+18,21.286207199096697,20.2940063476563,19.9883251190186,19.676343917846697,19.3197002410889,0.17593997716903698,0.137091234326363,0.094839088618755,0.070475608110428,0.052420902997255,24.087162017822298,0,0.003919842187315,2.8009548187256,3.793155670166,4.0988368988037,4.410818099975598,4.7674617767334,0.992200851440398,1.2978820800781,1.60986328125,1.9665069580078,0.305681228637699,0.6176624298096021,0.9743061065674008,0.31198120117190303,0.668624877929702,0.356643676757798,1
22294,22294,3.8841107245286e+18,1.23765294370003e+18,22.843370437622102,21.8502464294434,21.7237033843994,21.9585018157959,22.000659942627,0.290790587663651,0.226582050323486,0.156748414039612,0.116480872035027,0.086640365421772,23.623277664184602,0,0.003819011151791,0.7799072265625,1.7730312347411998,1.8995742797852,1.6647758483887,1.6226177215576,0.993124008178704,1.1196670532227,0.8848686218262041,0.842710494995103,0.12654304504399902,-0.1082553863525,-0.15041351318360094,-0.23479843139649895,-0.276956558227599,-0.042158126831101005,0
22375,22375,2.43574604749184e+18,1.23765294907018e+18,21.5429954528809,20.55442237854,20.2620239257813,20.1205883026123,20.1646289825439,0.2830407321453089,0.220543429255486,0.1525709182024,0.113376550376415,0.084331326186657,23.9072418212891,0,0.003573060035706,2.3642463684082,3.3528194427491003,3.6452178955078,3.7866535186768,3.7426128387452,0.988573074340898,1.2809715270996,1.4224071502686,1.378366470337,0.2923984527587,0.43383407592769896,0.38979339599610097,0.141435623168999,0.097394943237401,-0.044040679931598,0
24361,24361,2.49939457660054e+18,1.23765862969567e+18,25.672410964965806,21.6686363220215,21.2932167053223,20.847087860107397,20.751766204834002,0.094805337488651,0.073871672153473,0.051104083657265,0.037975810468197,0.028247026726604,23.6450252532959,0,0.003328814404085,-2.0273857116699,1.9763889312744,2.3518085479736,2.7979373931885,2.8932590484619,4.0037746429443,4.3791942596435,4.82532310485841,4.9206447601318,0.375419616699197,0.821548461914102,0.916870117187496,0.446128845214904,0.541450500488299,0.095321655273395,1
24369,24369,6.46414554543057e+18,1.23765911987834e+18,20.6056118011475,20.285110473632802,20.3534717559814,20.6425457000732,20.874361038208,0.194169119000435,0.151295259594917,0.104665361344814,0.077777586877346,0.057852230966091,20.810871124267603,0,0.00378595595248,0.205259323120103,0.525760650634801,0.457399368286204,0.16832542419440302,-0.06348991394039799,0.320501327514698,0.252140045166101,-0.0369338989257,-0.268749237060501,-0.06836128234859701,-0.35743522644039794,-0.589250564575199,-0.2890739440918,-0.520889282226602,-0.231815338134801,0
26427,26427,3.77658728362646e+18,1.23766269757784e+18,21.393955230712894,20.984058380127,20.8422679901123,20.3829460144043,19.7594203948975,0.298896849155426,0.23289838433265694,0.161118030548096,0.119727961719036,0.089055605232716,22.317771911621104,0,0.003352334257215,0.923816680908207,1.33371353149411,1.4755039215088002,1.9348258972168,2.5583515167236,0.4098968505858979,0.551687240600597,1.0110092163086,1.6345348358154,0.141790390014698,0.601112365722699,1.2246379852295,0.459321975708001,1.0828475952148,0.6235256195068001,1
26449,26449,2.91559051403933e+18,1.23766378259251e+18,25.265670776367198,22.8910942077637,22.8889102935791,21.4324035644531,19.4071636199951,0.218740984797478,0.170441493391991,0.117910638451576,0.08762024343013801,0.06517336517572403,23.9239311218262,0,0.0035622634459290007,-1.341739654541,1.0328369140625,1.0350208282471,2.4915275573731,4.516767501831099,2.3745765686035,2.3767604827881,3.8332672119141,5.8585071563721005,0.002183914184599,1.4586906433106002,3.4839305877686,1.456506729126,3.481746673584,2.0252399444580003,0
26469,26469,3.22834439773829e+18,1.23766413209515e+18,18.7102966308594,17.8744049072266,17.694290161132802,17.6230201721191,17.421554565429698,0.098625659942627,0.07684844732284599,0.053163401782513,0.039506103843451004,0.029385283589363,19.6642074584961,0,0.003647397039458,0.9539108276367008,1.7898025512695,1.9699172973633,2.041187286377,2.2426528930664,0.8358917236327981,1.0160064697265998,1.0872764587403,1.2887420654297,0.1801147460938,0.2513847351075,0.4528503417969029,0.0712699890137,0.272735595703104,0.20146560668940305,0
26805,26805,6.37844528735086e+18,1.23766509846358e+18,20.5802536010742,20.4574413299561,20.5895309448242,20.7931346893311,20.8538913726807,0.092072211205959,0.07174204289913201,0.04963081330061,0.036881014704704,0.027432698756456004,21.429645538330103,0,0.003804916050285,0.849391937255902,0.972204208374002,0.840114593505902,0.636510848999002,0.575754165649403,0.1228122711181,-0.00927734375,-0.21288108825690005,-0.273637771606499,-0.1320896148681,-0.335693359375,-0.396450042724599,-0.20360374450690005,-0.264360427856499,-0.060756683349599015,0
28440,28440,3.79066103226067e+18,1.23766630855941e+18,23.5212745666504,22.3358364105225,22.4085502624512,22.408561706543,21.4585018157959,0.465101569890976,0.362403988838196,0.250709414482117,0.186303958296776,0.13857591152191198,23.61647605896,0,0.003823925508186,0.095201492309599,1.2806396484375,1.2079257965088002,1.207914352417,2.1579742431641,1.1854381561279,1.1127243041992,1.1127128601074,2.0627727508545,-0.07271385192869999,-0.072725296020501,0.877334594726602,-1.14440918004277e-05,0.950048446655302,0.950059890747102,0
29541,29541,3.23875897187658e+18,1.2376653298535e+18,24.165885925293,21.855426788330107,21.7863578796387,21.6945686340332,21.3289489746094,0.04956343024969099,0.038619488477707,0.026716783642768995,0.019853433594108003,0.014767307788133998,22.2143993377686,0,0.003810698864982,-1.9514865875244,0.35897254943849805,0.42804145812990096,0.5198307037354011,0.885450363159201,2.3104591369629,2.3795280456543,2.4713172912598,2.8369369506836004,0.069068908691403,0.160858154296903,0.526477813720703,0.091789245605501,0.4574089050293,0.3656196594238,0
30509,30509,6.37489163785261e+18,1.2376653303922e+18,20.4681072235107,20.1992588043213,20.271375656127894,20.4045257568359,20.8191871643066,0.07343545556068401,0.057220410555601,0.039584815502167,0.029415760189294995,0.021879920735955,21.899093627929698,0,0.0033644628711040005,1.4309864044190002,1.6998348236084,1.6277179718018002,1.4945678710938,1.0799064636231,0.2688484191894,0.196731567382802,0.063581466674801,-0.351079940795902,-0.07211685180659799,-0.205266952514599,-0.619928359985302,-0.13315010070800098,-0.547811508178704,-0.41466140747070296,0
30939,30939,6.37872676018219e+18,1.23766773451057e+18,19.0141620635986,17.923427581787102,17.5715579986572,17.4243335723877,17.387142181396502,0.09275434166193,0.072273552417755,0.049998510628939,0.037154253572226,0.027635937556624003,20.3375129699707,0,0.003868617583066,1.3233509063721,2.4140853881836,2.7659549713135,2.9131793975830003,2.9503707885742,1.0907344818115,1.4426040649414,1.5898284912109,1.6270198822021005,0.35186958312990096,0.499094009399403,0.5362854003906,0.14722442626950302,0.18441581726070005,0.037191390991197,0
32826,32826,6.37872674622354e+18,1.23766791113225e+18,19.2973251342773,17.8477001190186,17.4174633026123,17.245628356933597,17.2509059906006,0.08116880059242301,0.063246183097363,0.043753415346146005,0.032513476908207,0.024184053763747,20.908311843872106,0,0.0034020608291029995,1.6109867095948005,3.0606117248535,3.4908485412598,3.6626834869385,3.6574058532715,1.4496250152587,1.879861831665,2.0516967773437,2.0464191436767,0.4302368164063,0.602071762085004,0.5967941284180011,0.171834945678704,0.166557312011701,-0.005277633667003,0
33144,33144,3.24291072778306e+18,1.23766791274221e+18,22.7775573730469,21.9123973846436,21.7903347015381,21.7455043792725,21.0489883422852,0.057153284549713,0.044533453881741,0.030808037146926,0.022893672809005,0.017028687521814998,24.682069778442397,0,0.0038103489205240006,1.9045124053955,2.7696723937988,2.8917350769043,2.9365653991699,3.6330814361572,0.865159988403299,0.9872226715088,1.0320529937744,1.7285690307617,0.122062683105501,0.16689300537110094,0.863409042358402,0.044830322265599985,0.7413463592529009,0.6965160369873009,0
