,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,pred
0,4,4,6.37482126696304e+18,1.23766725347377e+18,20.0247554779053,20.000087738037106,20.1712589263916,20.3688888549805,20.472017288208,0.083740793168545,0.065250262618065,0.045139826834202,0.033543732017279,0.024950372055173,20.835552215576197,0,-0.000797145010438,0.810796737670898,0.835464477539095,0.664293289184595,0.466663360595696,0.36353492736819604,0.024667739868196,-0.146503448486303,-0.3441333770752019,-0.447261810302702,-0.17117118835449902,-0.36880111694339796,-0.4719295501708979,-0.197629928588899,-0.300758361816399,-0.1031284332275,0
1,5,5,6.37482126696095e+18,1.23766725347377e+18,21.0076007843018,20.3342037200928,20.1748428344727,20.188421249389602,20.3381290435791,0.08480402827262899,0.066078722476959,0.04571295529604,0.03396962583065,0.025267161428927997,22.33308792114261,0,0.00025764963356799997,1.3254871368408,1.9988842010498,2.1582450866698997,2.144666671753,1.9949588775635,0.6733970642090021,0.832757949829102,0.8191795349121981,0.669471740722699,0.159360885620099,0.145782470703196,-0.003925323486303,-0.013578414916903,-0.163286209106403,-0.149707794189499,0
2,6,6,6.37482126696095e+18,1.23766725347377e+18,21.9896774291992,20.42326354980469,20.2544784545898,20.2094688415527,20.2408180236816,0.08386267721653,0.06534522771835301,0.045205526053906,0.03359255194664,0.024986686185002,22.414758682251,0,-3.51238741131965e-05,0.4250812530518,1.9914951324463002,2.1602802276612,2.2052898406983,2.1739406585694,1.5664138793945,1.7351989746094,1.7802085876465,1.7488594055176,0.168785095214897,0.21379470825199892,0.18244552612309692,0.045009613037102006,0.0136604309082,-0.031349182128903,0
3,7,7,6.37482126696095e+18,1.23766725347377e+18,21.9896774291992,20.42326354980469,20.2544784545898,20.2094688415527,20.2408180236816,0.08386267721653,0.06534522771835301,0.045205526053906,0.03359255194664,0.024986686185002,22.414758682251,0,0.000160340583534,0.4250812530518,1.9914951324463002,2.1602802276612,2.2052898406983,2.1739406585694,1.5664138793945,1.7351989746094,1.7802085876465,1.7488594055176,0.168785095214897,0.21379470825199892,0.18244552612309692,0.045009613037102006,0.0136604309082,-0.031349182128903,0
4,8,8,6.37482126696095e+18,1.23766725347377e+18,21.9896774291992,20.42326354980469,20.2544784545898,20.2094688415527,20.2408180236816,0.08386267721653,0.06534522771835301,0.045205526053906,0.03359255194664,0.024986686185002,22.414758682251,0,-3.51238741131965e-05,0.4250812530518,1.9914951324463002,2.1602802276612,2.2052898406983,2.1739406585694,1.5664138793945,1.7351989746094,1.7802085876465,1.7488594055176,0.168785095214897,0.21379470825199892,0.18244552612309692,0.045009613037102006,0.0136604309082,-0.031349182128903,0
5,9,9,6.37482126696095e+18,1.23766725347377e+18,21.9896774291992,20.42326354980469,20.2544784545898,20.2094688415527,20.2408180236816,0.08386267721653,0.06534522771835301,0.045205526053906,0.03359255194664,0.024986686185002,22.414758682251,0,0.000160340583534,0.4250812530518,1.9914951324463002,2.1602802276612,2.2052898406983,2.1739406585694,1.5664138793945,1.7351989746094,1.7802085876465,1.7488594055176,0.168785095214897,0.21379470825199892,0.18244552612309692,0.045009613037102006,0.0136604309082,-0.031349182128903,0
6,16,16,6.37482128199333e+18,1.23766725347475e+18,20.5283126831055,19.4820594787598,19.2421798706055,19.1669883728027,19.056686401367198,0.10110280662775001,0.078778624534607,0.054498683661223,0.040498364716768,0.030123341828584997,21.79084587097169,0,0.0006841864087619999,1.2625331878661998,2.3087863922119,2.5486660003662003,2.623857498169,2.7341594696044997,1.0462532043457,1.2861328125,1.3613243103027999,1.4716262817383001,0.2398796081543,0.31507110595710197,0.4253730773926029,0.075191497802802,0.185493469238303,0.110301971435501,0
8,22,22,6.37482129809946e+18,1.23766725347567e+18,21.467809677124,20.7031784057617,20.508741378784197,20.5320358276367,20.3426151275635,0.094986952841282,0.074013188481331,0.051201980561018,0.038048561662436,0.028301138430833997,21.6617546081543,0,0.00031076913001,0.193944931030302,0.9585762023925992,1.1530132293701,1.1297187805176,1.3191394805908,0.764631271362298,0.9590682983398008,0.935773849487298,1.1251945495605,0.194437026977504,0.171142578125,0.3605632781982,-0.023294448852503997,0.166126251220696,0.18942070007320005,0
9,23,23,6.374856455628e+18,1.23766725347679e+18,21.3312950134277,20.5024337768555,20.5562572479248,20.7178115844727,20.7489242553711,0.08964747190475501,0.06985270231962201,0.048323776572943004,0.035909745842218,0.026710253208876,22.8692226409912,0,-0.000284864247078,1.5379276275635,2.3667888641357,2.3129653930664,2.1514110565185,2.1202983856201003,0.828861236572198,0.7750377655028979,0.613483428955,0.582370758056598,-0.05382347106930098,-0.215377807617198,-0.2464904785156,-0.16155433654789805,-0.19266700744629997,-0.031112670898402008,0
10,24,24,6.37485645992297e+18,1.23766725347711e+18,20.6606292724609,19.400217056274396,19.1578598022461,19.013507843017603,19.2019004821777,0.08362883329391499,0.065163023769856,0.045079477131367,0.033498883247376,0.024917013943195,22.057125091552702,0,-0.000347226479789,1.3964958190918002,2.65690803527831,2.8992652893066,3.0436172485351003,2.855224609375,1.2604122161865001,1.5027694702148,1.6471214294433,1.4587287902831998,0.24235725402829505,0.38670921325679297,0.19831657409669692,0.14435195922849806,-0.044040679931598,-0.18839263916009602,0
