,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,pred
7,17,17,6.37482128091958e+18,1.23766725347495e+18,22.4153156280518,21.6324653625488,21.57356071472169,21.381183624267603,21.1647624969482,0.09473244100809101,0.073814876377583,0.051064789295197,0.037946611642837996,0.028225308284163995,22.2999382019043,0,-1.05221843114123e-05,-0.1153774261475,0.6674728393555011,0.726377487182603,0.918754577636697,1.1351757049561002,0.782850265503001,0.841754913330103,1.0341320037842,1.2505531311036002,0.058904647827102,0.251281738281197,0.4677028656005999,0.192377090454094,0.408798217773498,0.21642112731940305,1
22,45,45,3.72078486929225e+18,1.23766725399242e+18,22.09260940551761,21.2381916046143,21.3616027832031,21.366619110107397,21.0434970855713,0.13334921002388,0.10390480607748,0.07188086211681402,0.053415186703205005,0.039731085300446,23.7662467956543,0,0.0007111514569260001,1.6736373901366999,2.52805519104,2.4046440124512003,2.3996276855469,2.7227497100830003,0.854417800903302,0.7310066223145029,0.7259902954102059,1.0491123199463002,-0.1234111785888,-0.12842750549309698,0.194694519043001,-0.005016326904297,0.31810569763179997,0.3231220245360969,1
23,48,48,6.37770637151358e+18,1.23766725399419e+18,21.601505279541,20.768030166626,20.4963321685791,20.3423843383789,19.9523639678955,0.10788204520940801,0.08406095951795599,0.058152981102467,0.043213896453381,0.032143201678991,22.2544860839844,0,0.000380027282517,0.652980804443398,1.4864559173584,1.7581539154052999,1.9121017456055,2.3021221160889,0.833475112915,1.1051731109618999,1.2591209411621,1.6491413116455,0.2716979980469,0.4256458282471021,0.815666198730501,0.153947830200202,0.543968200683601,0.3900203704833979,1
31,72,72,6.37841011371619e+18,1.23766725400442e+18,21.729129791259798,21.3294315338135,21.040737152099602,21.0494289398193,21.0637035369873,0.12006427347660101,0.09355326741933802,0.064719721674919,0.048093687742949004,0.035772867500782006,22.58573532104489,0,0.001224151230417,0.8566055297850992,1.2563037872313998,1.54499816894529,1.5363063812256001,1.5220317840576,0.399698257446296,0.688392639160195,0.6797008514404971,0.6654262542724959,0.288694381713899,0.28000259399420097,0.2657279968262,-0.008691787719698,-0.022966384887698997,-0.014274597168001004,1
34,79,79,6.38787464860481e+18,1.23766725400651e+18,21.5564975738525,21.1213607788086,20.9880409240723,20.966938018798803,21.2623195648193,0.12198103219270699,0.09504679590463601,0.065752930939198,0.048861473798752,0.036343961954117,22.9953346252441,0,0.000138065995998,1.4388370513916,1.8739738464355,2.0072937011718004,2.0283966064453,1.7330150604248,0.43513679504389896,0.568456649780199,0.5895595550536971,0.2941780090332,0.1333198547363,0.154422760009798,-0.14095878601070005,0.021102905273498004,-0.27427864074699904,-0.295381546020497,1
38,89,89,6.3878746818908e+18,1.23766725400802e+18,24.55852699279789,21.835693359375,21.4302654266357,21.536558151245107,21.406696319580103,0.114930473268032,0.089553043246269,0.061952382326125995,0.046037260442971996,0.034243263304233995,22.8454780578613,0,-0.0006818144465800001,-1.7130489349366,1.0097846984863001,1.4152126312256001,1.3089199066161998,1.4387817382812,2.7228336334229,3.1282615661622,3.02196884155279,3.1518306732177903,0.4054279327393,0.29913520812989697,0.42899703979489706,-0.10629272460940302,0.023569107055596998,0.129861831665,1
50,142,142,3.06832587327695e+18,1.23766725453126e+18,22.503055572509798,21.8412647247314,22.0194625854492,21.8699111938477,22.6817569732666,0.10761446505785001,0.08385246247053199,0.058008745312691,0.043106712400912996,0.032063476741314,23.5412158966064,0,0.000673961010762,1.0381603240966,1.699951171875,1.5217533111572001,1.6713047027587,0.859458923339798,0.6617908477783989,0.483592987060597,0.633144378662099,-0.17870140075680396,-0.178197860717802,-0.028646469116299998,-0.840492248535202,0.149551391601502,-0.662294387817401,-0.811845779418903,1
51,148,148,3.16230333112622e+18,1.23766725453251e+18,23.0436000823975,21.0708332061768,20.0949268341064,19.547327041626,19.099420547485398,0.09961062669753999,0.077615924179554,0.05369433760643,0.039900649338960995,0.029678750783205,23.1295986175537,0,4.4029544369550395e-05,0.08599853515619997,2.0587654113769,3.0346717834473,3.5822715759277,4.0301780700683,1.9727668762206998,2.9486732482911004,3.4962730407715,3.9441795349121,0.9759063720704008,1.5235061645508001,1.9714126586914,0.5475997924803979,0.9955062866210008,0.447906494140604,1
59,160,160,3.80132189720491e+18,1.2376672545367e+18,21.7245178222656,21.1381931304932,20.958688735961896,20.864725112915,20.8294925689697,0.10034832358360304,0.07819073647260699,0.05409198999404901,0.040196146816015,0.029898546636104997,23.703777313232397,0,4.19553725805599e-05,1.9792594909668002,2.5655841827392,2.7450885772705003,2.8390522003174,2.8742847442627,0.586324691772401,0.765829086303704,0.8597927093505999,0.895025253295898,0.179504394531303,0.27346801757820005,0.308700561523498,0.093963623046896,0.129196166992195,0.035232543945298,1
60,161,161,3.80132189720491e+18,1.2376672545369e+18,22.0737743377686,21.624450683593803,21.674949645996104,21.457317352294897,21.823919296264602,0.09578235447406801,0.074632965028286,0.051630739122629006,0.038367170840502,0.028538126498461002,22.8622894287109,0,0.000154002555064,0.788515090942297,1.2378387451171,1.18733978271479,1.404972076416,1.0383701324463002,0.44932365417479797,0.398824691772496,0.616456985473704,0.249855041503999,-0.05049896240230098,0.167133331298906,-0.19946861267079896,0.217632293701207,-0.148969650268498,-0.366601943969705,1
