,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,pred
209,325,325,3.79889417553078e+18,1.23766729318944e+18,24.9618759155273,20.9900398254395,19.661334991455103,19.5944576263428,19.674264907836896,0.18570938706398002,0.14470350742340102,0.100105211138725,0.07438889890909199,0.055331677198410006,22.1458034515381,1,3.61559796333313,-2.8160724639892,1.1557636260986,2.4844684600830003,2.5513458251952996,2.4715385437012003,3.9718360900878,5.3005409240722,5.3674182891845,5.28761100769041,1.3287048339843999,1.3955821990967,1.3157749176026001,0.066877365112305,-0.012929916381793001,-0.07980728149409799,0
212,330,330,6.37767120432136e+18,1.23766729319088e+18,22.144868850707997,21.3234844207764,21.225650787353498,21.1815776824951,21.2768058776855,0.17761978507041898,0.138400137424469,0.09574457257986098,0.071148477494717,0.052921395748854,22.4394721984863,1,0.869477927684784,0.294603347778303,1.1159877777098999,1.2138214111328,1.2578945159911998,1.1626663208008001,0.821384429931598,0.9192180633544992,0.963291168212898,0.8680629730224959,0.097833633422901,0.1419067382813,0.046678543090899,0.044073104858399006,-0.051155090332003,-0.095228195190401,0
261,397,397,6.38787465182603e+18,1.23766732217287e+18,21.3668117523193,20.4026775360107,20.1585083007813,19.9440231323242,19.6835556030273,0.086708523333073,0.067562691867352,0.04673955962061901,0.03473250195383998,0.02583460137248,22.448926925659197,1,0.8200203776359559,1.0821151733399001,2.0462493896485,2.2904186248779,2.504903793335,2.7653713226319,0.9641342163086009,1.208303451538,1.4227886199951,1.683256149292,0.24416923522939998,0.458654403686499,0.719121932983398,0.214485168457099,0.47495269775399895,0.2604675292969,0
272,410,410,6.3878747022919e+18,1.23766732217549e+18,21.0953044891357,20.5212497711182,20.3293991088867,20.250696182251,20.4838886260986,0.07327175885438901,0.057092860341072,0.039496578276157004,0.029350189492106007,0.021831149235367997,22.342256546020497,1,1.46179389953613,1.2469520568848,1.8210067749023,2.0128574371338,2.0915603637695,1.8583679199219,0.5740547180175,0.765905380248999,0.844608306884698,0.611415863037099,0.191850662231499,0.270553588867198,0.037361145019599,0.0787029266357,-0.1544895172119,-0.233192443847599,0
311,463,463,6.37482129273075e+18,1.23766732271583e+18,22.5473232269287,21.0991153717041,20.749811172485398,20.8504753112793,21.3337116241455,0.103726416826248,0.08082292228937203,0.055912919342518,0.041549291461706,0.030905039981008,22.290138244628896,1,2.95913219451904,-0.25718498229980497,1.19102287292479,1.5403270721434998,1.4396629333496,0.956426620483395,1.4482078552246,1.7975120544433,1.6968479156493999,1.2136116027832,0.349304199218704,0.24864006042480105,-0.2345962524413989,-0.10066413879390301,-0.5839004516601031,-0.4832363128662,0
341,507,507,3.85385216473354e+18,1.23766732324812e+18,23.1007137298584,21.9871482849121,22.2918376922607,22.105821609497102,22.6613445281982,0.108224630355835,0.08432789891958199,0.058337651193142,0.043351124972105005,0.032245274633168994,23.579650878906303,1,2.20965099334717,0.4789371490479051,1.5925025939942,1.2878131866456,1.4738292694092,0.9183063507081041,1.1135654449463002,0.8088760375976992,0.9948921203612959,0.4393692016601989,-0.304689407348601,-0.118673324585004,-0.6741962432861011,0.186016082763597,-0.3695068359375,-0.555522918701097,0
342,508,508,3.85385216473354e+18,1.23766732324812e+18,23.1007137298584,21.9871482849121,22.2918376922607,22.105821609497102,22.6613445281982,0.108224630355835,0.08432789891958199,0.058337651193142,0.043351124972105005,0.032245274633168994,23.579650878906303,1,2.2060410976409903,0.4789371490479051,1.5925025939942,1.2878131866456,1.4738292694092,0.9183063507081041,1.1135654449463002,0.8088760375976992,0.9948921203612959,0.4393692016601989,-0.304689407348601,-0.118673324585004,-0.6741962432861011,0.186016082763597,-0.3695068359375,-0.555522918701097,0
351,518,518,6.38787471410306e+18,1.23766732325034e+18,21.8045310974121,21.2605514526367,21.2237663269043,21.0771636962891,21.268045425415,0.085054591298103,0.066273964941502,0.045848019421101,0.034069992601872004,0.02534181624651,22.4201545715332,1,2.1387677192688,0.6156234741211011,1.1596031188965,1.1963882446288998,1.3429908752441,1.1521091461182,0.543979644775398,0.580764770507798,0.7273674011229971,0.536485671997099,0.036785125732401,0.183387756347599,-0.0074939727782990006,0.14660263061519901,-0.0442790985107,-0.190881729125898,0
366,543,543,3.08380699699605e+18,1.23766732326063e+18,21.2977123260498,20.535076141357397,20.31094741821289,20.2257328033447,20.1747760772705,0.041331168264151,0.03220496699214,0.022279247641563003,0.016555868089199,0.012314524501562,24.904602050781303,1,2.65380382537842,3.6068897247315,4.369525909423911,4.59365463256841,4.6788692474366,4.7298259735108,0.7626361846924041,0.9867649078369028,1.0719795227051,1.1229362487793,0.224128723144499,0.30934333801269503,0.360300064086896,0.08521461486819601,0.136171340942397,0.050956726074201,0
392,573,573,6.37482124978317e+18,1.23766732378748e+18,21.7093067169189,20.5069198608398,20.3710994720459,20.390905380249,20.3063926696777,0.07161099463701301,0.055798802524805007,0.038601353764534,0.028684942051767994,0.021336326375604002,22.929750442504893,1,2.79041886329651,1.220443725586,2.4228305816651003,2.558650970459,2.5388450622559,2.6233577728272004,1.2023868560791,1.338207244873,1.3184013366699,1.4029140472411998,0.135820388793903,0.116014480590803,0.200527191162102,-0.0198059082031,0.06470680236819999,0.0845127105713,0
