,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
363,411,411,8286,6379043402351120243,1237668292835606677,20.4721775054932,20.280611038208,20.2847728729248,20.375835418701197,20.4954891204834,0.0821415930986404,0.0640041679143906,0.0442777872085571,0.0329031422734261,0.0244738925248384,21.0328960418701,22.2446136474609,0,0.670114576816559,0.5607185363768998,0.7522850036620987,0.7481231689452983,0.6570606231689027,0.537406921386701,0.19156646728519888,0.18740463256839845,0.09634208679200283,-0.023311614990198848,-0.004161834716800428,-0.09522438049319604,-0.21487808227539773,-0.0910625457763956,-0.2107162475585973,-0.1196537017822017,-1.211717605590799,-1.7724361419676988,-1.9640026092528973,-1.9598407745360973,-1.8687782287597017,-1.7491245269775,1
365,414,414,8396,6379043412014794946,1237668293910003797,20.4027538299561,20.1272964477539,20.4902515411377,20.713943481445305,20.875093460083,0.0828818157315254,0.0645809471607208,0.0446768030524254,0.0331996530294418,0.0246944427490234,19.9094295501709,20.167249679565398,1,0.909643352031708,-0.4933242797852024,-0.2178668975830007,-0.5808219909668004,-0.8045139312744034,-0.9656639099121024,0.2754573822022017,-0.08749771118159799,-0.31118965148920097,-0.4723396301268998,-0.3629550933837997,-0.5866470336914027,-0.7477970123291016,-0.22369194030760287,-0.3848419189453017,-0.16114997863769887,-0.2578201293944993,0.2355041503907032,-0.03995323181149857,0.32300186157230115,0.5466938018799041,0.707843780517603,0
385,439,439,8924,6378515661465846594,1237668298217947507,21.754938125610398,20.970567703247106,21.0485572814941,20.9848747253418,20.603645324707,0.0853215008974075,0.0664819329977036,0.0459918938577175,0.0341769084334373,0.0254213400185108,20.788745880127,21.2607402801514,1,0.680124938488007,-0.9661922454833984,-0.18182182312010287,-0.25981140136710223,-0.19612884521480112,0.18510055542000006,0.7843704223632955,0.7063808441162962,0.7700634002685973,1.1512928009033985,-0.07798957824699926,-0.01430702209469814,0.366922378540103,0.06368255615230113,0.4449119567871023,0.3812294006348012,-0.4719944000243999,0.4941978454589986,-0.2901725769042969,-0.2121829986572976,-0.27586555480959873,-0.6570949554443999,0
395,450,450,9093,3061500105093818910,1237668299276878407,22.511520385742198,21.195987701415998,19.8650016784668,18.973518371582,18.3165035247803,0.10738980025053,0.0836774036288261,0.057887639850378,0.0430167205631733,0.0319965369999409,22.3181076049805,23.4890079498291,1,0.487823367118835,-0.19341278076169746,1.1221199035645029,2.4531059265137003,3.344589233398501,4.0016040802002015,1.3155326843262003,2.6465187072753977,3.5380020141601984,4.1950168609619,1.3309860229491974,2.2224693298339986,2.8794841766357004,0.8914833068848012,1.548498153686502,0.6570148468017011,-1.1709003448486008,-0.9774875640869034,-2.293020248413104,-3.624006271362301,-4.515489578247101,-5.1725044250488015,0
453,522,522,11141,6380204483408825189,1237669702661439695,21.0135383605957,20.1257057189941,20.2815113067627,20.376485824585,19.7184276580811,0.17542190849781,0.136687561869621,0.0945598259568214,0.0702680796384811,0.0522665455937386,20.3317928314209,21.1769714355469,1,0.858916401863098,-0.6817455291748011,0.2060871124267969,0.050281524658199565,-0.04469299316410158,0.6133651733397976,0.8878326416015979,0.7320270538330007,0.6370525360106996,1.2951107025145987,-0.15580558776859732,-0.2507801055908985,0.4072780609130007,-0.09497451782230117,0.563083648681598,0.6580581665038991,-0.8451786041260014,-0.1634330749512003,-1.0512657165527983,-0.895460128784201,-0.8004856109618999,-1.4585437774657992,0
474,554,554,11969,3160931140616851284,1237671166170956005,21.123586654663104,19.8928165435791,19.7870922088623,19.892995834350604,19.5414752960205,0.224916219711304,0.17525319755077404,0.121239349246025,0.0900938361883163,0.067013256251812,24.9916152954102,24.171133041381804,1,2.79085731506348,3.868028640747095,5.098798751831096,5.204523086547899,5.098619461059595,5.450139999389698,1.230770111084002,1.3364944458008026,1.2305908203125,1.5821113586426032,0.10572433471680044,-0.00017929077150213854,0.3513412475586009,-0.10590362548830257,0.2456169128418005,0.351520538330103,0.8204822540283949,-3.0475463867187003,-4.2783164978027015,-4.384040832519503,-4.2781372070312,-4.6296577453613015,0
509,602,602,12729,2469910072792192430,1237678596464050412,23.4398536682129,21.528568267822298,21.1781959533691,21.702703475952106,21.157377243042,0.290345281362534,0.226235091686249,0.156508386135101,0.116302505135536,0.0865076929330826,23.509069442749,23.1719646453857,1,1.56182563304901,0.06921577453609729,1.980501174926701,2.330873489379897,1.8063659667968963,2.351692199707,1.911285400390604,2.2616577148438,1.737150192260799,2.2824764251709007,0.35037231445319605,-0.17413520812980465,0.3711910247802983,-0.5245075225830007,0.020818710327102245,0.545326232910103,0.33710479736329896,0.2678890228272017,-1.6433963775634015,-1.9937686920165985,-1.4692611694335973,-2.0145874023437003,0
524,618,618,13016,6381013744367964696,1237678597017501847,21.747255325317397,20.6629638671875,19.3957214355469,19.1174697875977,18.2332363128662,0.08257487416267402,0.0643417835235596,0.0445113480091095,0.0330767035484314,0.0246029905974865,22.4020729064941,22.3635787963867,1,0.297853052616119,0.6548175811767045,1.7391090393066015,3.0063514709472017,3.2846031188964027,4.168836593627901,1.084291458129897,2.351533889770497,2.629785537719698,3.5140190124511967,1.2672424316406,1.5454940795898011,2.4297275543213,0.278251647949201,1.1624851226806996,0.8842334747314986,0.038494110107400566,-0.616323471069304,-1.7006149291992008,-2.9678573608398016,-3.2461090087890017,-4.130342483520502,0
537,631,631,13172,6381013736851769473,1237678597553193093,19.732385635376,19.821987152099602,20.1193408966064,20.2780876159668,20.7790794372559,0.0955559015274048,0.074456512928009,0.0515086725354195,0.0382764637470245,0.0284706559032202,19.9997863769531,20.4745807647705,1,1.34557557106018,0.2674007415770987,0.17779922485349786,-0.11955451965329901,-0.2783012390137003,-0.7792930603027983,-0.08960151672360084,-0.3869552612303977,-0.545701980590799,-1.046693801879897,-0.2973537445067969,-0.4561004638671982,-0.9570922851562962,-0.1587467193604013,-0.6597385406494993,-0.5009918212890979,-0.4747943878174006,-0.7421951293944993,-0.6525936126708984,-0.3552398681641016,-0.19649314880370028,0.3044986724853977,0
554,648,648,13389,6381013730409319468,1237678598092816621,21.3216762542725,21.1559963226318,21.280475616455103,20.9927577972412,21.220703125,0.136033564805985,0.105996437370777,0.0733278393745422,0.0544904470443726,0.0405308790504932,21.5718460083008,21.303424835205103,1,0.576443016529083,0.2501697540282989,0.4158496856689986,0.291370391845696,0.5790882110595987,0.35114288330079896,0.1656799316406996,0.041200637817397016,0.3289184570312997,0.10097312927250003,-0.12447929382330256,0.16323852539060013,-0.06470680236819959,0.2877178192139027,0.05977249145510299,-0.2279453277587997,0.268421173095696,0.018251419067397023,-0.14742851257330258,-0.02294921875,-0.3106670379639027,-0.082721710205103,0
857,963,963,17022,2917138626413335339,1237678661969969536,22.028745651245107,20.5201797485352,20.3757362365723,20.3521747589111,20.1663608551025,0.12030162662267695,0.0937382131814957,0.0648476630449295,0.0481887646019459,0.0358435846865177,23.82248878479,23.2538948059082,1,3.0016870498657204,1.7937431335448968,3.302309036254801,3.446752548217699,3.470314025878899,3.6561279296875,1.508565902709904,1.6530094146728018,1.676570892334002,1.8623847961426032,0.14444351196289773,0.16800498962409804,0.3538188934326989,0.023561477661200314,0.2093753814698012,0.18581390380860088,0.5685939788818004,-1.2251491546630966,-2.7337150573730007,-2.8781585693358984,-2.9017200469970987,-3.0875339508057005,0
931,1045,1045,17935,6381013701418288493,1237678777941754170,22.115676879882802,21.209527969360398,21.096237182617198,21.2187538146973,20.2587490081787,0.111375734210014,0.0867832154035568,0.060036227107048,0.0446133501827717,0.0331841371953487,20.1230964660645,20.908512115478498,1,0.8924735188484191,-1.9925804138183023,-1.0864315032958984,-0.9731407165526988,-1.0956573486328018,-0.13565254211420094,0.906148910522404,1.0194396972656037,0.8969230651855007,1.8569278717041016,0.1132907867431996,-0.009225845336903404,0.9507789611816976,-0.12251663208010301,0.8374881744384979,0.9600048065186008,-0.7854156494139986,1.207164764404304,0.3010158538818999,0.1877250671387003,0.3102416992188033,-0.6497631072997976,0
988,1107,1107,19029,6380204450122826813,1237678859551900072,22.7717018127441,21.623083114624,21.5957107543945,21.6096248626709,21.4811172485352,0.290978968143463,0.226728841662407,0.15684996545314805,0.116556338965893,0.0866964980959892,21.989253997802702,22.0219345092773,1,5.34775924682617,-0.7824478149413991,0.36617088317870383,0.3935432434082031,0.379629135131804,0.5081367492675035,1.148618698120103,1.1759910583496025,1.1620769500732029,1.2905845642089029,0.02737236022949929,0.013458251953100131,0.14196586608879969,-0.013914108276399162,0.1145935058593004,0.12850761413569955,-0.03268051147459872,0.7497673034668004,-0.39885139465330255,-0.4262237548828017,-0.4123096466064027,-0.5408172607421022,0
