,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
4,23,23,311,6374891662550766717,1237667254018179362,22.4244709014893,21.3028545379639,21.0662746429443,21.1053085327148,20.6762065887451,0.0635309517383575,0.0495028905570507,0.0342458710074425,0.0254483502358198,0.0189288984984159,22.5138893127441,22.13118362426761,0,2.8313801522017494e-05,0.0894184112548011,1.2110347747802024,1.4476146697998011,1.4085807800293004,1.837682723999002,1.1216163635254013,1.358196258545,1.319162368774499,1.7482643127442008,0.23657989501959875,0.19754600524909804,0.6266479492187997,-0.03903388977050072,0.3900680541992009,0.4291019439697017,0.38270568847649855,0.29328727722169745,-0.8283290863037038,-1.0649089813233026,-1.025875091552802,-1.4549770355225036,1
5,37,37,590,2486833755766919966,1237667287812931895,22.103141784668,20.571674346923803,20.2528038024902,20.1301441192627,19.8028564453125,0.100043118000031,0.0779529213905334,0.0539274699985981,0.0400738902390003,0.029807610437274,22.9465484619141,23.7414169311523,0,-0.000120389842777513,0.8434066772461009,2.3748741149902983,2.6937446594239027,2.8164043426514027,3.1436920166016016,1.5314674377441977,1.8503379821778017,1.9729976654053016,2.3002853393555007,0.3188705444336044,0.4415302276611044,0.7688179016113033,0.12265968322749995,0.4499473571776989,0.3272876739501989,-0.7948684692381995,-1.6382751464843004,-3.1697425842284983,-3.4886131286621023,-3.611272811889602,-3.9385604858398016,1
8,82,82,1501,2491020696045499607,1237667323260371243,21.4481201171875,20.2214756011963,19.7865200042725,19.5663948059082,19.629253387451197,0.0414270907640457,0.0322797074913979,0.0223309528082609,0.0165942907333374,0.0123431039974093,23.2922382354736,24.053443908691396,0,-9.62829362833872e-05,1.8441181182861008,3.0707626342773016,3.505718231201101,3.725843429565401,3.6629848480224036,1.2266445159912005,1.661600112915,1.8817253112793004,1.818866729736304,0.4349555969237997,0.6550807952881001,0.592222213745103,0.22012519836430045,0.15726661682130327,-0.06285858154299717,-0.7612056732177948,-2.605323791503896,-3.8319683074950963,-4.2669239044188965,-4.487049102783197,-4.424190521240199,1
12,116,116,2070,6387874651828128350,1237667429564416280,21.9430713653564,21.969369888305696,21.800609588623,20.9647369384766,20.1484546661377,0.0753446668386459,0.0587080530822277,0.0406139604747295,0.0301805250346661,0.0224487651139498,21.74114418029789,20.9762916564941,0,-2.47738335019676e-05,-0.20192718505850127,-0.2282257080077983,-0.059465408325102935,0.7764072418212962,1.5926895141601989,-0.02629852294929691,0.14246177673339844,0.9783344268797975,1.7946166992187005,0.16876029968269535,1.0046329498290945,1.8209152221679967,0.8358726501463991,1.6521549224853018,0.8162822723389027,0.7648525238037962,0.9667797088622976,0.9930782318115944,0.8243179321288991,-0.011554718017499964,-0.8278369903564027,1
19,178,178,3400,6377811963286654038,1237667537464328693,22.803014755249,21.7864074707031,21.8180618286133,21.846406936645497,21.3802337646484,0.116039484739304,0.0904171839356422,0.0625501871109009,0.0464814938604832,0.0345736891031265,22.6487674713135,22.4891338348389,0,0.000603128224611282,-0.15424728393549714,0.8623600006104013,0.8307056427002024,0.8023605346680043,1.268533706665103,1.0166072845458984,0.9849529266356996,0.9566078186035014,1.4227809906006,-0.03165435791019888,-0.05999946594239702,0.4061737060547017,-0.028345108032198137,0.4378280639649006,0.4661731719970987,0.15963363647460227,0.3138809204100994,-0.7027263641357989,-0.6710720062256001,-0.642726898193402,-1.1089000701905007,1
23,212,212,4225,6377671219355845823,1237667735567269975,20.1637401580811,19.8678894042969,19.9891986846924,20.0968132019043,20.65966796875,0.108029633760452,0.0841759592294693,0.0582325384020805,0.0432730168104172,0.0321871750056744,20.410236358642603,21.5761528015137,0,0.000442025484517217,0.2464962005615021,0.5423469543457031,0.4210376739502024,0.31342315673830257,-0.2494316101073969,0.295850753784201,0.1745414733887003,0.06692695617680045,-0.4959278106688991,-0.12130928039550072,-0.22892379760740056,-0.7917785644531001,-0.10761451721189984,-0.6704692840575994,-0.5628547668456996,-1.1659164428710973,-1.4124126434325994,-1.7082633972168004,-1.5869541168212995,-1.4793395996094,-0.9164848327637004,1
25,229,229,4485,6382632159985796353,1237667736106172699,20.5992393493652,20.3215026855469,20.3788452148438,20.1670074462891,19.616531372070305,0.11721932888031,0.0913365110754967,0.0631861761212349,0.0469540990889072,0.0349252223968506,20.6919059753418,20.2530193328857,0,2.13658108805248e-06,0.09266662597660158,0.37040328979490056,0.3130607604980007,0.5248985290526988,1.0753746032714986,0.27773666381829903,0.2203941345213991,0.4322319030760973,0.982707977294897,-0.057342529296899876,0.1544952392577983,0.7049713134765979,0.21183776855469816,0.7623138427734979,0.5504760742187997,0.4388866424561009,0.3462200164794993,0.06848335266120031,0.12582588195810018,-0.08601188659659798,-0.6364879608153977,1
32,293,293,5696,3056820583605996338,1237667782835634924,22.134576797485398,21.2551345825195,21.2245941162109,21.0705490112305,21.080980300903303,0.0807411447167397,0.0629129558801651,0.0435228906571865,0.0323421694338322,0.0240566339343786,23.2937717437744,23.271993637085,0,-0.000504488649312407,1.159194946289002,2.038637161254901,2.069177627563501,2.2232227325438987,2.2127914428710973,0.8794422149658985,0.9099826812744992,1.064027786254897,1.0535964965820952,0.03054046630860085,0.18458557128899847,0.17415428161619673,0.1540451049803977,0.14361381530759587,-0.010431289672801823,0.02177810668939984,-1.1374168395996025,-2.0168590545655007,-2.0473995208741016,-2.2014446258544997,-2.1910133361816966,1
41,393,393,7739,6383476640750504955,1237668271372108197,21.3581829071045,20.4367275238037,19.8655319213867,19.610912322998,19.271917343139602,0.14948828518390694,0.116480268537998,0.08058051019907,0.0598799549043179,0.0445396825671196,20.9770469665527,20.7998085021973,0,-0.00044137370423413797,-0.3811359405518005,0.5403194427489986,1.111515045165998,1.3661346435546982,1.7051296234130966,0.9214553833007992,1.4926509857177983,1.7472705841064986,2.086265563964897,0.5711956024169993,0.8258152008056996,1.164810180664098,0.2546195983887003,0.5936145782470987,0.33899497985839844,0.1772384643553977,0.5583744049071981,-0.3630809783936009,-0.9342765808106002,-1.1888961791993005,-1.527891159057699,1
44,407,407,8194,6377671233314491627,1237668290155250094,21.4635162353516,20.929857254028303,21.0056533813477,20.7341136932373,20.0624179840088,0.131618067622185,0.10255590826273,0.0709476992487907,0.0527217462658882,0.0392152927815914,21.5480079650879,21.7101173400879,0,0.000347456283634529,0.0844917297362997,0.6181507110595987,0.5423545837402024,0.8138942718506001,1.4855899810791016,0.533658981323299,0.4578628540039027,0.7294025421143004,1.401098251342802,-0.07579612731939632,0.1957435607910014,0.8674392700195028,0.2715396881103977,0.9432353973388992,0.6716957092285014,-0.162109375,-0.2466011047362997,-0.7802600860595987,-0.7044639587402024,-0.9760036468506,-1.6476993560791016,1
