,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
14,129,129,2297,6374821276626716970,1237667430106726565,20.090290069580103,19.834283828735398,20.1402339935303,20.4226188659668,20.3418464660645,0.0807423815131187,0.0629139170050621,0.0435235574841499,0.0323426686227322,0.0240570027381182,20.0931377410889,19.7089252471924,0,-0.000176172121427953,0.002847671508796168,0.2588539123535014,-0.047096252441399145,-0.3294811248779013,-0.2487087249756001,0.25600624084470525,-0.04994392395019531,-0.33232879638669743,-0.2515563964843963,-0.30595016479490056,-0.5883350372314027,-0.5075626373291016,-0.2823848724365021,-0.20161247253420106,0.08077239990230113,0.3842124938964986,0.3813648223877024,0.12535858154299714,0.4313087463378977,0.7136936187743999,0.6329212188720987,0
15,138,138,2593,6374821283069168223,1237667431180992596,20.2501277923584,19.9918365478516,20.252651214599602,20.5577602386475,20.914249420165998,0.0862828269600868,0.0672309920191765,0.0465100891888142,0.0345619805157185,0.0257077645510435,20.26344871521,20.851491928100604,0,-0.000599561084527522,0.01332092285160158,0.27161216735839844,0.010797500610397748,-0.2943115234375,-0.6508007049559978,0.2582912445067969,-0.002523422241203832,-0.3076324462891016,-0.6641216278075994,-0.2608146667480007,-0.5659236907958984,-0.9224128723143964,-0.3051090240478977,-0.6615982055663956,-0.35648918151849784,-0.5880432128906037,-0.6013641357422053,-0.8596553802490021,-0.5988407135010014,-0.2937316894531037,0.06275749206539416,0
16,146,146,2720,3191717466395903211,1237667442438242796,22.5504035949707,21.2572402954102,21.478666305542003,21.499122619628896,21.6885089874268,0.0343703106045723,0.0267811119556427,0.0185270495712757,0.0137675832957029,0.0102405529469252,23.576126098632802,23.4153270721436,0,0.000134127636556514,1.0257225036621025,2.318885803222603,2.097459793090799,2.0770034790039062,1.8876171112060007,1.2931632995605007,1.0717372894286967,1.051280975341804,0.8618946075438991,-0.221426010131804,-0.2418823242186967,-0.4312686920166016,-0.020456314086892743,-0.2098426818847976,-0.18938636779790485,0.16079902648920094,-0.8649234771729013,-2.1580867767334007,-1.9366607666015985,-1.9162044525147053,-1.7268180847168004,0
17,147,147,2729,6374856485694866210,1237667442970722312,18.729478836059602,18.7451763153076,19.1447868347168,19.4411468505859,19.767282485961896,0.0838658884167671,0.0653477311134338,0.0452072583138943,0.033593837171793,0.024987643584609,18.280809402465803,17.9439716339111,0,-0.000139657524414361,-0.4486694335937997,-0.4643669128417969,-0.8639774322509979,-1.160337448120096,-1.4864730834960938,-0.015697479247997137,-0.4153079986571981,-0.7116680145262961,-1.0378036499022942,-0.399610519409201,-0.695970535278299,-1.0221061706542969,-0.296360015869098,-0.6224956512450959,-0.3261356353759979,0.3368377685547017,0.7855072021485014,0.8012046813964986,1.2008152008056996,1.4971752166747976,1.823310852050796,0
18,148,148,2742,6374856503948477592,1237667442972098703,20.1208877563477,19.9175109863281,20.216861724853498,20.455335617065398,20.815261840820305,0.08609781414270401,0.0670868307352066,0.046410359442234005,0.0344878695905209,0.025652639567852003,20.06681823730469,19.585140228271502,0,-0.000779077352490276,-0.05406951904300072,0.14930725097659805,-0.1500434875487997,-0.3885173797606996,-0.7484436035156037,0.20337677001959875,-0.09597396850579898,-0.33444786071769883,-0.6943740844726031,-0.2993507385253977,-0.5378246307372976,-0.8977508544922017,-0.23847389221189985,-0.598400115966804,-0.3599262237549041,0.481678009033196,0.5357475280761967,0.332370758056598,0.6317214965819957,0.8701953887938956,1.2301216125487997,0
20,194,194,3815,6382632227631532866,1237667734498377917,20.4161815643311,19.975633621215803,20.148141860961896,20.3566875457764,20.4859218597412,0.104608841240406,0.0815104991197586,0.0563885867595673,0.0419027656316757,0.031167957931757008,20.597669601440398,21.1824417114258,0,0.000126198021462187,0.18148803710929684,0.6220359802245952,0.4495277404785014,0.2409820556639985,0.11174774169919743,0.4405479431152983,0.2680397033692046,0.05949401855470171,-0.0697402954100994,-0.17250823974609375,-0.3810539245605966,-0.5102882385253977,-0.20854568481450286,-0.337779998779304,-0.12923431396480112,-0.5847721099854013,-0.7662601470946981,-1.2068080902099965,-1.0342998504639027,-0.8257541656493999,-0.6965198516845987,0
21,198,198,4004,6377671218282103934,1237667735030857938,20.0867538452148,20.3437900543213,20.7626552581787,21.1242179870605,21.581275939941396,0.121214911341667,0.0944498404860497,0.0653399601578712,0.0485545955598354,0.0361156985163689,19.430364608764602,19.087110519409197,0,0.000100583332823589,-0.6563892364501989,-0.9134254455566976,-1.332290649414098,-1.6938533782958984,-2.1509113311767933,-0.2570362091064986,-0.6759014129638992,-1.0374641418456996,-1.4945220947265945,-0.41886520385740056,-0.7804279327392009,-1.237485885620096,-0.3615627288818004,-0.8186206817626953,-0.4570579528808949,0.3432540893554048,0.9996433258056036,1.2566795349121025,1.6755447387695028,2.0371074676513032,2.494165420532198,0
22,206,206,4129,6378621144788894132,1237667735049207829,17.1753025054932,15.975872993469201,15.9494123458862,15.9901437759399,16.026575088501,0.17748600244522106,0.13829588890075695,0.0956724584102631,0.071094885468483,0.0528815351426601,18.865924835205103,21.6117248535156,0,0.000678472453728318,1.6906223297119034,2.890051841735902,2.9165124893189027,2.8757810592652024,2.8393497467041016,1.1994295120239986,1.225890159606999,1.185158729553299,1.1487274169921982,0.02646064758300071,-0.014270782470699572,-0.05070209503180045,-0.04073143005370028,-0.07716274261480116,-0.03643131256110088,-2.7458000183104967,-4.4364223480224005,-5.635851860046397,-5.6623125076294025,-5.6215810775757005,-5.585149765014599,0
24,228,228,4466,6377671255863069973,1237667736104927545,19.935491561889602,19.9661846160889,20.3867511749268,20.6352291107178,21.0080184936523,0.103936582803726,0.0809866786003113,0.0560262128710747,0.0416334792971611,0.0309676602482796,19.5994548797607,19.373714447021502,0,-0.000106018123915419,-0.3360366821289027,-0.3667297363281996,-0.7872962951661009,-1.0357742309570988,-1.4085636138916016,-0.03069305419929692,-0.4512596130371982,-0.699737548828196,-1.0725269317626989,-0.4205665588379013,-0.6690444946288991,-1.041833877563402,-0.24847793579099786,-0.6212673187255007,-0.3727893829345028,0.22574043273919744,0.5617771148681001,0.592470169067397,1.0130367279052983,1.2615146636962962,1.6343040466307992,0
26,235,235,4598,6378726768772124627,1237667736122032321,19.9939937591553,20.060998916626,20.4203090667725,20.7684440612793,20.7322692871094,0.119884289801121,0.0934130251407623,0.064622700214386,0.0480215921998024,0.0357192419469357,19.714145660400398,19.286573410034197,0,9.313607006333772e-05,-0.2798480987549006,-0.3468532562256037,-0.7061634063721023,-1.0542984008789027,-1.018123626709002,-0.06700515747070312,-0.4263153076172017,-0.7744503021240021,-0.7382755279541016,-0.3593101501464986,-0.707445144653299,-0.6712703704833984,-0.3481349945068004,-0.31196022033689985,0.036174774169900566,0.4275722503662003,0.7074203491211009,0.774425506591804,1.1337356567383026,1.481870651245103,1.4456958770752024,0
