,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
197,197,3912,6378726760182188110,1237667734510567771,19.0141620635986,17.923427581787102,17.5715579986572,17.4243335723877,17.387142181396502,0.0927543416619301,0.0722735524177551,0.0499985106289387,0.0371542535722256,0.0276359375566244,20.3375129699707,20.473941802978498,0,0.00386861758306623,1.3233509063720987,2.4140853881835973,2.765954971313498,2.9131793975830007,2.9503707885741965,1.0907344818114986,1.4426040649413991,1.5898284912109018,1.6270198822020987,0.3518695831299006,0.4990940093994034,0.5362854003906001,0.14722442626950286,0.18441581726069955,0.03719139099119674,-0.1364288330077983,-1.459779739379897,-2.550514221191396,-2.902383804321296,-3.049608230590799,-3.086799621581996,0
358,358,6754,6378726746223544784,1237667911132251085,19.2973251342773,17.8477001190186,17.4174633026123,17.245628356933597,17.2509059906006,0.0811688005924225,0.0632461830973625,0.0437534153461456,0.0325134769082069,0.0241840537637472,20.908311843872106,22.370370864868196,0,0.00340206082910299,1.6109867095948012,3.0606117248535014,3.4908485412598016,3.662683486938505,3.6574058532715017,1.4496250152587002,1.879861831665,2.0516967773437043,2.046419143676701,0.4302368164062997,0.6020717620850036,0.5967941284180007,0.17183494567870386,0.166557312011701,-0.0052776336670028465,-1.4620590209960938,-3.073045730590895,-4.522670745849594,-4.952907562255895,-5.124742507934599,-5.119464874267597,0
400,400,8013,6382632186829342932,1237668288546144844,22.7731609344482,22.045595169067397,21.934778213501,22.068431854248,21.6050910949707,0.155689790844917,0.12131243199110002,0.083923377096653,0.0623640641570091,0.0463874042034149,22.36580276489261,21.982603073120107,0,0.00378242786973715,-0.40735816955559656,0.320207595825206,0.4310245513916016,0.2973709106446023,0.7607116699219034,0.7275657653808025,0.8383827209471981,0.7047290802001989,1.1680698394775,0.1108169555663956,-0.022836685180603663,0.4405040740966975,-0.13365364074699926,0.32968711853030186,0.4633407592773011,0.3831996917725,0.7905578613280966,0.06299209594729405,-0.047824859619101545,0.08582878112789771,-0.3775119781494034,0
484,484,10123,6379043441005825504,1237668495779889876,18.5480785369873,17.0390529632568,16.6439590454102,16.542781829834002,17.171758651733402,0.10881643742322901,0.0847890302538872,0.0586566589772701,0.0435881838202477,0.032421600073576,19.5342617034912,19.624197006225604,0,0.0035801287740469,0.9861831665038991,2.4952087402344,2.8903026580810014,2.991479873657198,2.3625030517577983,1.5090255737305007,1.9041194915771025,2.005296707153299,1.3763198852538991,0.3950939178466015,0.4962711334227983,-0.13270568847660158,0.10117721557619674,-0.5277996063232031,-0.6289768218993999,-0.08993530273440342,-1.0761184692383026,-2.585144042968804,-2.980237960815405,-3.0814151763916016,-2.4524383544922017,0
593,593,12574,2416676117821789526,1237678595937403513,22.721797943115202,21.7276630401611,21.6291809082031,22.040636062622102,21.184371948242198,0.19756892323494,0.153944373130798,0.106498003005981,0.0791394263505936,0.0588651970028877,23.0339508056641,23.23020362854,0,0.00335901812650263,0.3121528625488992,1.3062877655030007,1.4047698974610014,0.9933147430419992,1.849578857421904,0.9941349029541016,1.0926170349121025,0.6811618804931001,1.5374259948730042,0.09848213195800072,-0.31297302246100145,0.5432910919189027,-0.41145515441900216,0.444808959960902,0.8562641143799041,-0.1962528228758984,-0.5084056854247976,-1.5025405883788991,-1.6010227203368999,-1.1895675659178977,-2.045831680297802,1
1462,1462,24147,6380380417080429798,1237679322321781328,21.8526821136475,21.6084060668945,21.5307769775391,21.568380355835,21.621618270874,0.10109619051218,0.0787734687328339,0.0544951185584068,0.0404957123100758,0.0301213711500168,21.7666187286377,22.9503860473633,0,0.0038863967638462795,-0.08606338500980115,0.1582126617431996,0.2358417510985973,0.19823837280269885,0.1450004577637003,0.24427604675300074,0.32190513610839844,0.2843017578125,0.23106384277350145,0.0776290893553977,0.04002571105949927,-0.013212203979499293,-0.03760337829589844,-0.09084129333489699,-0.05323791503899855,-1.1837673187256001,-1.097703933715799,-1.3419799804687995,-1.4196090698241974,-1.3820056915282992,-1.3287677764893004,1
1964,1964,30482,3053407699513386041,1237679503254683918,21.7680015563965,21.6703701019287,21.589786529541,22.093729019165,22.738208770752,0.236580222845078,0.184341713786125,0.127526745200157,0.0947660356760025,0.0704885199666023,22.264343261718803,22.7125949859619,0,0.0038008978590369203,0.4963417053223047,0.593973159790103,0.6745567321778019,0.1706142425538033,-0.473865509033196,0.0976314544677983,0.17821502685549714,-0.3257274627685014,-0.9702072143555008,0.08058357238769888,-0.4233589172362997,-1.067838668823299,-0.5039424896239986,-1.148422241210998,-0.6444797515869993,-0.44825172424309656,-0.9445934295654012,-1.0422248840331996,-1.1228084564208984,-0.6188659667968999,0.02561378479009946,0
2071,2071,31473,6380943368107591128,1237679504861954460,21.4554386138916,21.341594696044897,21.475793838501,21.5107307434082,21.3102779388428,0.126502394676209,0.0985698103904724,0.0681901425123215,0.0506725832819939,0.0376910902559757,21.9134140014648,21.695358276367198,0,0.00358384381979704,0.4579753875731996,0.5718193054199041,0.4376201629637997,0.4026832580566016,0.6031360626220028,0.11384391784670456,-0.02035522460939987,-0.05529212951659801,0.14516067504880326,-0.13419914245610445,-0.16913604736330254,0.0313167572020987,-0.03493690490719814,0.16551589965820312,0.20045280456540127,0.21805572509760296,-0.2399196624755966,-0.35376358032230115,-0.21956443786619675,-0.18462753295899856,-0.3850803375243999,0
2842,2842,42520,6378973035754424743,1237650761859727512,23.6735649108887,22.0207176208496,22.11823844909669,22.1594390869141,23.014928817749,0.0893245786428452,0.0696011036634445,0.048149723559617996,0.0357804037630558,0.0266140475869179,21.57887840271,21.3472747802734,0,0.0038005230017006397,-2.0946865081787003,-0.4418392181395987,-0.5393600463866974,-0.5805606842041016,-1.4360504150389986,1.6528472900391016,1.5553264617920028,1.5141258239745987,0.6586360931397017,-0.09752082824709872,-0.13872146606450286,-0.9942111968994001,-0.04120063781740413,-0.8966903686523011,-0.855489730834897,0.2316036224366016,2.326290130615302,0.6734428405762003,0.7709636688232991,0.8121643066407032,1.6676540374756001,0
